Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.0012100000167265534 6e-05
SDSS:r' 0.6246977662012919 0.0018599999602884054 0.00014
SDSS:i' 0.7634912086792645 0.003220000071451068 6e-05
2MASS:J 1.239016606050587 0.00301400002790615 0.0007281483
2MASS:H 1.649477072902339 0.00425600002054125 0.0014343988
2MASS:Ks 2.163785333814508 0.006597272691909562 0.00143527
WISE:W1 3.3500107051067163 0.026375000132247806 0.0014212672
WISE:W2 4.600019302768061 0.06118750059977174 0.0029171905
WISE:W3 11.559823320737255 0.24328571132251195 0.007937253
WISE:W4 22.09066818952177 0.9705714327948434 0.042332027
IRAS:12 11.590213330240472 0.2929999977350235 0.04750789
IRAS:25 23.880234028994746 1.190000017484029 0.15
IRAS:60 61.84986032885642 3.1666666666666665 0.4402272
IRAS:100 101.94941780588998 2.809999942779541 0.3182766
"W1 (WISE)" 3.3533831991051453 0.0262 0.0005863403448510089
"W2 (WISE)" 4.60510688172043 0.0602 0.0011529601033860625
"W3 (WISE)" 11.574998378378377 0.24933333333333332 0.0038882643943024243
"W4 (WISE)" 22.0435630882353 0.9063333333333333 0.017589693004711596
"12 microns (IRAS)" 11.99169832 0.277 0.0361
"25 microns (IRAS)" 24.982704833333333 1.15 0.0111
"60 microns (IRAS)" 59.958491599999995 3.1 0.155
"100 microns (IRAS)" 99.93081933333333 2.87 0.23
"24 microns (MIPS)" 23.60570535433071 0.928 0.00041433440600558384
