Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 9.526666569096657e-06 5.233546e-06
GALEX:NUV 0.23119646641474512 2.3799999326001853e-05 5.6956123e-06
SDSS:u 0.3519021246126397 0.00011256999932811596 1.0672863e-05
SDSS:g 0.4819969420238593 0.0003870909091677855 1.3747726e-05
SDSS:r 0.6246977662012919 0.000748428565982197 8.888195e-06
SDSS:i 0.7634912086792643 0.0014365000194326665 2.5865034e-05
SDSS:z 0.901794182408856 0.0018149999906943942 5.1662366e-05
2MASS:J 1.239016606050587 0.0017460000235587358 0.00039560083
2MASS:H 1.6494770729023387 0.0027506666723638774 0.00072380935
2MASS:Ks 2.1637853338145083 0.004386153788520739 0.00061392185
WISE:W1 3.3500107051067163 0.00774900009855628 0.0004741308
WISE:W2 4.600019302768061 0.011177777726617124 0.0005744563
WISE:W3 11.559823320737255 0.03632500022649765 0.0016970563
WISE:W4 22.09066818952177 0.10837499983608723 0.008485282
IRAS:12 11.59021333024047 0.10499999672174454 0.026
IRAS:25 23.880234028994746 0.19200000166893005 0.036
IRAS:60 61.84986032885643 1.1650000214576721 0.13038406
IRAS:100 101.94941780588998 1.9450000524520874 0.29681644
:=1.4GHz 214137.47000000003 0.011899999901652336 0.0012767146
"W1 (WISE)" 3.3524464998875185 0.0075725 0.0002513544310331529
"W2 (WISE)" 4.60334111987928 0.011024999999999998 0.0003179473698585978
"W3 (WISE)" 11.574998378378378 0.03695 0.0010568751108811295
"W4 (WISE)" 22.0435630882353 0.10086666666666666 0.003633304281229415
"3.6 microns (IRAC)" 3.5520433412322276 0.009174999999999999 4.4407206622349035e-05
"4.5 microns (IRAC)" 4.494639550224888 0.0118 5.5225447033048085e-05
"5.8 microns (IRAC)" 5.732169369024856 0.015 0.00014567086187704115
"8.0 microns (IRAC)" 7.86856845144357 0.035949999999999996 0.00015153299970633457
"25 microns (IRAS)" 24.982704833333333 0.192 0.0199
"60 microns (IRAS)" 59.958491599999995 1.12 0.0671
"100 microns (IRAS)" 99.93081933333333 1.95 0.254
1.4GHz 214137.47 0.0127 0.0006
