Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.9100000524000887e-05 5.8889727e-06
GALEX:NUV 0.23119646641474512 3.733333384540553e-05 5.4277066e-06
SDSS:u' 0.3519021246126397 8.569999772589654e-05 3.3e-06
SDSS:g' 0.48199694202385923 0.00020900000527035445 2e-06
SDSS:r' 0.6246977662012919 0.0004290000069886446 9e-06
SDSS:i' 0.7634912086792645 0.0005709999823011458 4e-06
SDSS:z' 0.9017941824088558 0.0006510000093840063 1.3e-05
SDSS:u 0.3519021246126397 0.00010851666653858653 1.0027961e-05
SDSS:g 0.4819969420238593 0.00021826666246245927 4.562894e-06
SDSS:r 0.6246977662012919 0.00044749999021102366 8.3666e-06
SDSS:i 0.7634912086792643 0.0006038333376636729 1.0770329e-05
SDSS:z 0.9017941824088558 0.0007208333360419298 5.1449002e-05
2MASS:J 1.239016606050587 0.0003468749928288162 0.00017819091
2MASS:H 1.6494770729023387 0.0004544999901554547 0.00023337523
2MASS:Ks 2.1637853338145083 0.0005041250115027651 0.00026165627
WISE:W1 3.3500107051067163 0.000751299987314269 5.7835972e-05
WISE:W2 4.600019302768061 0.001043599983677268 9.027181e-05
WISE:W3 11.559823320737255 0.005148888824300634 0.00056418084
WISE:W4 22.09066818952177 0.01993749989196658 0.0030773366
Spitzer/MIPS:24 23.674678828081813 0.018200000748038292 0.0001
"W1 (WISE)" 3.3533831991051453 0.0009063333333333333 3.66781951573411e-05
"W2 (WISE)" 4.60510688172043 0.0011133333333333334 6.738471636803112e-05
"W3 (WISE)" 11.574998378378377 0.00568 0.0004349816088066253
"W4 (WISE)" 22.0435630882353 0.0183 0.003038601652076165
"24 microns (MIPS)" 23.60570535433071 0.017966666666666666 9.23594066676481e-05
