Filter Wave Flux F_er
GALEX:NUV 0.23119646641474512 1.5300000086426735e-05 4.3e-06
SDSS:u' 0.3519021246126397 0.00010295000174664892 5.1224993e-06
SDSS:g' 0.48199694202385923 0.00046300000394694507 2.8284271e-06
SDSS:i' 0.7634912086792645 0.0016850000247359276 1.4142135e-05
SDSS:z' 0.9017941824088558 0.002190000028349459 2.828427e-05
SDSS:u 0.3519021246126397 9.776000079000368e-05 1.00005e-05
SDSS:g 0.4819969420238593 0.0004630000024917535 7.874008e-06
SDSS:r 0.6246977662012919 0.000616999990597833 4.472136e-06
SDSS:i 0.7634912086792643 0.001437727297095328 3.599736e-05
SDSS:z 0.9017941824088561 0.0020730999967781827 5.6293873e-05
2MASS:J 1.239016606050587 0.001463400019565597 0.00025160285
2MASS:H 1.6494770729023387 0.001797777729936772 0.00032015622
2MASS:Ks 2.1637853338145083 0.0016933333568481936 0.00035679125
WISE:W1 3.350010705106716 0.0012771428529439227 7.416199e-05
WISE:W2 4.600019302768061 0.0008628749856143259 5.777543e-05
WISE:W3 11.559823320737253 0.0019233333490168054 0.00026981477
WISE:W4 22.090668189521775 0.00712500015894572 0.0021433851
Spitzer/MIPS:24 23.674678828081813 0.007029999978840351 5e-05
:=1.4GHz 214137.47 0.0034100000436107316 0.0007208329
"W1 (WISE)" 3.3533831991051453 0.0016066666666666668 4.651257894376531e-05
"W2 (WISE)" 4.60510688172043 0.0010583333333333332 5.969731987283852e-05
"W3 (WISE)" 11.574998378378377 0.00237 0.0002629866916784954
"W4 (WISE)" 22.0435630882353 0.007423333333333333 0.0017381797950729954
"24 microns (MIPS)" 23.60570535433071 0.006900000000000001 7.655749473434982e-05
1.4GHz 214137.47 0.0039 0.0006
