Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0011899999808520079 0.00011
GALEX:NUV 0.23119646641474512 0.0021699999924749136 0.0002
SDSS:u' 0.3519021246126397 0.008589999750256538 3e-05
SDSS:g' 0.48199694202385923 0.01269999984651804 0.0002
SDSS:r' 0.6246977662012919 0.03959999978542328 0.0002236068
SDSS:i' 0.7634912086792645 0.05030000116676092 0.0002236068
SDSS:z' 0.9017941824088558 0.09239999949932098 0.0002
SDSS:u 0.3519021246126397 0.004049019833928469 0.00052007276
SDSS:g 0.4819969420238593 0.024605022145098902 0.0021095818
SDSS:r 0.6246977662012919 0.030838545637184973 0.003327216
SDSS:i 0.7634912086792643 0.026888636193537725 0.0036000751
SDSS:z 0.9017941824088559 0.03980500070902053 0.0050375927
2MASS:J 1.239016606050587 0.05661666745113002 0.009011105
2MASS:H 1.6494770729023382 0.07347777910116646 0.012439453
2MASS:Ks 2.1637853338145083 0.05110625002998859 0.010294173
:=3.6um 3.599986286565157 0.15600000321865082 0.007
WISE:W1 3.3500107051067163 0.08563846177779712 0.0130870165
WISE:W2 4.600019302768061 0.11221428747688021 0.013612127
WISE:W3 11.559823320737255 0.7113846265352689 0.081252694
WISE:W4 22.09066818952177 2.8818181428042324 0.3104835
IRAS:12 11.59021333024047 1.0113333463668823 0.07866384
IRAS:25 23.880234028994742 3.5899999141693115 0.36069378
IRAS:60 61.8498603288564 7.247499942779541 0.9664367
IRAS:100 101.94941780588995 7.296666781107585 1.012719
Spitzer/MIPS:24 23.674678828081813 2.990000009536743 0.28
:=1.4GHz 214137.4700000001 13.043333053588867 0.99619275
"FUV (GALEX)" 0.15373972205128206 0.00065 3.803109385752663e-05
"NUV (GALEX)" 0.23239725426356592 0.00186 0.00016477863939236785
"u (SDSS) AB" 0.3552043341232228 0.01403 0.0013574332396106999
"g (SDSS) AB" 0.46842571562499996 0.0575 0.00402
"r (SDSS) AB" 0.6168569094650206 0.07425000000000001 0.005558713880026565
"i (SDSS) AB" 0.747612114713217 0.09645000000000001 0.0063884348630944025
"z (SDSS) AB" 0.8922394583333333 0.137 0.00631
"J (2MASS) AB" 1.2337138189300412 0.184 0.00846
"H (2MASS) AB" 1.6472113076923076 0.227 0.0105
"Ks (2MASS) AB" 2.156780273381295 0.198 0.00913
"W1 (WISE)" 3.364789264408224 0.08075 0.002196939006891179
"W2 (WISE)" 4.60334111987928 0.104375 0.0026119465921032917
"W3 (WISE)" 11.679173363783782 0.731 0.01447068415797954
"W4 (WISE)" 22.043563088235295 2.7875 0.05868611420089083
"3.6 microns (IRAC)" 3.5520433412322276 0.0758 9e-05
"4.5 microns (IRAC)" 4.494639550224888 0.066 6.267136507209652e-05
"5.8 microns (IRAC)" 5.732169369024856 0.132 0.0002
"8.0 microns (IRAC)" 7.86856845144357 0.291 0.0002
"12 microns (IRAS)" 11.99169832 1.09 0.199760481577313
"25 microns (IRAS)" 24.982704833333337 3.4014285714285712 0.6062592267339112
"60 microns (IRAS)" 59.958491599999995 7.168571428571428 1.3709773885808623
"100 microns (IRAS)" 99.93081933333335 7.894285714285714 1.7094335319046483
"24 microns (MIPS)" 23.60570535433071 2.89 0.0030281354543679182
"70 microns (MIPS)" 71.37915666666667 3.99 0.033
"160 microns (MIPS)" 156.14190520833333 4.35 0.87
"70 microns (PACS)" 70.0449668224299 6.81 0.343
"100 microns (PACS)" 102.31824505119454 7.49 0.377
"160 microns (PACS)" 165.63119226519336 5.69 0.286
"250 microns (SPIRE)" 249.82704833333332 3.51 0.217
"350 microns (SPIRE)" 349.81617036172696 2.85 0.176
"500 microns (SPIRE)" 499.65409666666665 2.74 0.168
1.4GHz 214137.47 22.8 0.685
