Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.011800000444054604 0.0006
SDSS:r' 0.6246977662012919 0.01080000028014183 0.0003
SDSS:i' 0.7634912086792645 0.009829999879002571 0.00038
2MASS:J 1.239016606050587 0.011800000444054604 0.00056568545
2MASS:H 1.6494770729023387 0.01510000042617321 0.0008485282
2MASS:Ks 2.163785333814508 0.02370000071823597 0.0011313709
WISE:W1 3.350010705106716 0.051316666727264725 0.0027820854
WISE:W2 4.600019302768061 0.07811666528383891 0.0035128337
WISE:W3 11.559823320737255 0.15000000596046448 0.0044721365
WISE:W4 22.09066818952177 0.44679999351501465 0.01746425
"2-10 keV (XMM)" 0.00020675341931034483 7.816666666666667e-07 8.974245149314788e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 1.955e-06 2.67059188196175e-07
"25 microns (IRAS)" 24.982704833333333 0.445 0.0119
"60 microns (IRAS)" 59.958491599999995 1.24 0.0496
"100 microns (IRAS)" 99.93081933333333 2.13 0.17
