Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.004650000017136335 0.00014
GALEX:NUV 0.23119646641474514 0.004222500137984753 8e-05
SDSS:g' 0.48199694202385923 0.005520000122487545 0.00035
SDSS:r' 0.6246977662012919 0.007350000087171793 0.00029
SDSS:i' 0.7634912086792645 0.00773000018671155 0.00048
SDSS:g 0.48199694202385923 0.003809999907389283 7e-05
SDSS:r 0.6246977662012919 0.004259999841451645 8e-05
SDSS:i 0.7634912086792645 0.005609999876469374 9e-05
SDSS:z 0.9017941824088558 0.005210000090301037 0.0002
2MASS:J 1.239016606050587 0.007607692207854528 0.0011293361
2MASS:H 1.6494770729023385 0.009895713866821356 0.0018309287
2MASS:Ks 2.1637853338145083 0.011869999673217535 0.0018220866
WISE:W1 3.3500107051067167 0.018423000525217503 0.0014148146
WISE:W2 4.600019302768061 0.024872222501370642 0.0013823531
WISE:W3 11.559823320737255 0.06258333474397659 0.0022045407
WISE:W4 22.09066818952177 0.13183333228031793 0.009433982
Herschel/PACS:70 69.99917297095358 0.31200000643730164 0.036769554
Herschel/PACS:160 160.0002444361424 0.33899998664855957 0.024
Herschel/SPIRE:250 249.99371080720482 0.13600000739097595 0.009
Herschel/SPIRE:350 362.9976001356129 0.05999999865889549 0.006
:=250um 249.99371080720482 0.13600000739097595 0.009
:=350um 349.99995096608495 0.05999999865889549 0.006
:=1.4GHz 214137.47000000003 0.009499999694526196 0.0006
"2-10 keV (XMM)" 0.00020675341931034483 1.84e-06 2.0806103070974148e-07
"0.5-2 keV (XMM)" 0.0009926902582781457 6.903333333333332e-06 1.3709547767887897e-07
"W1 (WISE)" 3.3533831991051453 0.023266666666666668 0.0005166139758078559
"W2 (WISE)" 4.60510688172043 0.028700000000000003 0.0005692969348239984
"W3 (WISE)" 11.574998378378377 0.06496666666666667 0.0011830642417045662
"W4 (WISE)" 22.0435630882353 0.12333333333333334 0.00528602875512421
"60 microns (IRAS)" 59.958491599999995 0.229 0.048
1.4GHz 214137.47 0.0097 0.0006
