Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.4899999769113492e-05 6.081118e-06
GALEX:NUV 0.23119646641474512 0.0004020000051241368 3.8183767e-05
2MASS:J 1.239016606050587 0.10174999828450382 0.006997142
2MASS:H 1.6494770729023387 0.16306250146590173 0.00973653
2MASS:Ks 2.163785333814508 0.11241111242108875 0.011239218
WISE:W1 3.3500107051067167 0.08523749746382236 0.0039012819
WISE:W2 4.600019302768061 0.05481250025331974 0.003595831
WISE:W3 11.559823320737255 0.2607142818825586 0.012247449
WISE:W4 22.090668189521775 0.5466250069439411 0.023937419
IRAS:12 11.59021333024047 0.6076666712760925 0.043566044
IRAS:25 23.880234028994746 0.7445000112056732 0.05707889
IRAS:60 61.84986032885643 7.495000004768372 0.7088723
IRAS:100 101.94941780588996 19.5 1.3453624
Spitzer/MIPS:24 23.674678828081813 0.46299999952316284 0.001
Herschel/PACS:70 69.99917297095358 7.619999885559082 0.55154324
Herschel/PACS:160 160.0002444361424 22.200000762939453 1.1
Herschel/SPIRE:250 249.99371080720482 11.899999618530273 0.8
Herschel/SPIRE:350 362.9976001356129 5.489999771118164 0.38
Herschel/SPIRE:500 516.9994274578785 2.109999895095825 0.18
:=250um 249.99371080720482 11.899999618530273 0.8
:=350um 349.99995096608495 5.489999771118164 0.38
:=500um 499.99576043629816 2.109999895095825 0.18
"W1 (WISE)" 3.3533831991051453 0.08723333333333333 0.0014564916752250936
"W2 (WISE)" 4.60510688172043 0.0573 0.0008767103284437797
"W3 (WISE)" 11.574998378378377 0.19566666666666666 0.002738469645623263
"W4 (WISE)" 22.0435630882353 0.45 0.008433700255522484
"12 microns (IRAS)" 11.99169832 0.596 0.02576606295109907
"25 microns (IRAS)" 24.982704833333333 0.759 0.023048861143232218
"60 microns (IRAS)" 59.958491599999995 7.18 0.2761340254296815
"100 microns (IRAS)" 99.93081933333333 18.9 0.5666833330882426
"500 microns (SPIRE)" 499.65409666666665 2.1 0.178
