Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.00395999988541007 0.00015
SDSS:r' 0.6246977662012919 0.006909999996423721 0.00025
SDSS:i' 0.7634912086792645 0.009610000066459179 0.00058
SDSS:u 0.3519021246126397 0.00171999994199723 0.00011
SDSS:g 0.48199694202385923 0.0031399999279528856 0.0001
SDSS:r 0.6246977662012919 0.004569999873638153 0.00022
SDSS:i 0.7634912086792646 0.005750000011175871 0.00033
SDSS:z 0.9017941824088558 0.0069599999114871025 0.00035
2MASS:J 1.239016606050587 0.01368461549282074 0.0020688162
2MASS:H 1.6494770729023385 0.021071428433060646 0.0039698863
2MASS:Ks 2.1637853338145083 0.028141666514178116 0.0036235342
WISE:W1 3.350010705106717 0.04011818224733526 0.0027055498
WISE:W2 4.600019302768061 0.04576999992132187 0.002521904
WISE:W3 11.559823320737253 0.12746999859809877 0.0060207974
WISE:W4 22.090668189521775 0.20844444301393297 0.014177446
IRAS:25 23.880234028994742 0.3269999921321869 0.079
IRAS:60 61.84986032885643 1.4500000476837158 0.09
IRAS:100 101.94941780588996 2.940000057220459 0.18
"W1 (WISE)" 3.3533831991051453 0.04053333333333333 0.0009127743423212552
"W2 (WISE)" 4.60510688172043 0.04546666666666666 0.0009020654078280577
"W3 (WISE)" 11.574998378378377 0.135 0.0022292790314359483
"W4 (WISE)" 22.0435630882353 0.207 0.005547125381672926
"3.6 microns (IRAC)" 3.5520433412322276 0.0395 0.00327
"4.5 microns (IRAC)" 4.494639550224888 0.0397 0.00365
"5.8 microns (IRAC)" 5.732169369024856 0.0545 0.00402
"8.0 microns (IRAC)" 7.86856845144357 0.209 0.0134
"12 microns (IRAS)" 11.99169832 0.167 0.0183
"25 microns (IRAS)" 24.982704833333333 0.253 0.0117
"60 microns (IRAS)" 59.958491599999995 1.45 0.0581
"100 microns (IRAS)" 99.93081933333333 2.98 0.179
"24 microns (MIPS)" 23.60570535433071 0.186 0.00022244100341438852
