Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00026000000070780516 1.6e-05
GALEX:NUV 0.23119646641474512 0.000514000013936311 1.1e-05
SDSS:g' 0.48199694202385923 0.0020050000166520476 4.472136e-05
SDSS:r' 0.6246977662012919 0.00509499991312623 0.00024698177
SDSS:i' 0.7634912086792645 0.007800000021234155 0.0009437161
SDSS:g 0.48199694202385923 0.00041099998634308577 5e-06
SDSS:r 0.6246977662012919 0.00493845013261307 5.1061234e-05
SDSS:i 0.7634912086792646 0.0015699999639764428 5e-05
SDSS:z 0.9017941824088558 0.0012408300123070148 0.0001900253
2MASS:J 1.239016606050587 0.017261666478589177 0.0022684135
2MASS:H 1.6494770729023387 0.023176923465843383 0.0043104524
2MASS:Ks 2.163785333814508 0.022178571604724442 0.0034842503
WISE:W1 3.350010705106716 0.024990908970887012 0.0015427249
WISE:W2 4.600019302768061 0.028609090908007187 0.0016643318
WISE:W3 11.559823320737253 0.20110000371932985 0.009055385
WISE:W4 22.09066818952177 0.5566000163555145 0.035156794
IRAS:12 11.59021333024047 0.2775000035762787 0.039408125
IRAS:25 23.880234028994742 0.7924999892711639 0.08927486
IRAS:60 61.84986032885641 5.9700000286102295 0.5813776
IRAS:100 101.94941780588996 10.449999809265137 1.118034
:=1.4GHz 214137.47000000003 0.04815000109374523 0.0018027757
"W1 (WISE)" 3.3533831991051453 0.027066666666666666 0.0005376402142697288
"W2 (WISE)" 4.60510688172043 0.029866666666666666 0.0006028109156277779
"W3 (WISE)" 11.574998378378377 0.20933333333333334 0.0032500307690851173
"W4 (WISE)" 22.0435630882353 0.5303333333333332 0.012972262717043622
"3.6 microns (IRAC)" 3.5520433412322276 0.018 1.3700879533810958e-06
"4.5 microns (IRAC)" 4.494639550224888 0.0208 1.7904747973652129e-06
"5.8 microns (IRAC)" 5.732169369024856 0.0644 9.577478791414786e-06
"12 microns (IRAS)" 11.99169832 0.27699999999999997 0.05207504200670413
"25 microns (IRAS)" 24.982704833333333 0.8376666666666667 0.07695557159816305
"60 microns (IRAS)" 59.958491599999995 5.830000000000001 0.30400822357298163
"100 microns (IRAS)" 99.93081933333333 10.08 0.7440900483140463
"24 microns (MIPS)" 23.60570535433071 0.513 0.0003024119706625384
"70 microns (PACS)" 70.0449668224299 7.43 0.339
"100 microns (PACS)" 102.31824505119454 10.4 0.47
"160 microns (PACS)" 165.63119226519336 9.24 0.409
"250 microns (SPIRE)" 249.82704833333332 3.99 0.243
"350 microns (SPIRE)" 349.81617036172696 1.66 0.103
"500 microns (SPIRE)" 499.65409666666665 0.488 0.031
1.4GHz 214137.47 0.048 0.0018
