Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.81000019540079e-05 1.0628264e-05
GALEX:NUV 0.23119646641474512 0.0001856666688884919 1.3304135e-05
SDSS:g' 0.48199694202385923 0.002739999908953905 8e-05
SDSS:r' 0.6246977662012919 0.007799999788403511 0.00027
2MASS:J 1.239016606050587 0.027492308272765234 0.0028124722
2MASS:H 1.6494770729023387 0.051142857276967595 0.005191339
2MASS:Ks 2.163785333814508 0.0805416659762462 0.0065703886
WISE:W1 3.350010705106716 0.1272307703128228 0.010049877
WISE:W2 4.600019302768061 0.18199999974324152 0.010049877
WISE:W3 11.559823320737253 0.4533636353232644 0.019748418
WISE:W4 22.09066818952177 1.1768182082609697 0.06337192
IRAS:12 11.590213330240468 0.6230000257492065 0.044
IRAS:25 23.880234028994742 1.375 0.1360147
IRAS:60 61.84986032885643 3.2200000286102295 0.3312099
IRAS:100 101.94941780588996 3.9000000953674316 0.35
Herschel/PACS:70 69.99917297095358 3.319999933242798 0.2404163
Herschel/PACS:160 160.0002444361424 2.559999942779541 0.15
Herschel/SPIRE:250 249.99371080720482 0.871999979019165 0.048
Herschel/SPIRE:350 362.9976001356129 0.33899998664855957 0.02
Herschel/SPIRE:500 516.9994274578785 0.12300000339746475 0.012
:=250um 249.99371080720482 0.871999979019165 0.048
:=350um 349.99995096608495 0.33899998664855957 0.02
:=500um 499.99576043629816 0.12300000339746475 0.012
"W1 (WISE)" 3.3533831991051453 0.12666666666666668 0.002744552786885324
"W2 (WISE)" 4.60510688172043 0.18166666666666664 0.0034460774802665133
"W3 (WISE)" 11.574998378378377 0.4706666666666666 0.00761412503180766
"W4 (WISE)" 22.0435630882353 1.1119999999999999 0.021009283662228945
"12 microns (IRAS)" 11.99169832 0.623 0.0436
"25 microns (IRAS)" 24.982704833333333 1.39 0.0374
"60 microns (IRAS)" 59.958491599999995 3.23 0.161
"100 microns (IRAS)" 99.93081933333333 3.91 0.351
"24 microns (MIPS)" 23.60570535433071 1.1925 0.00043898706131274525
