Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.2033333506357543e-05 6.6000002e-06
GALEX:NUV 0.23119646641474512 0.0002033333342599993 1.0392305e-05
SDSS:g' 0.48199694202385923 0.009809999726712704 0.00076
SDSS:r' 0.6246977662012919 0.019999999552965164 0.0006
SDSS:i' 0.7634912086792645 0.024000000208616257 0.0011
SDSS:g 0.48199694202385923 0.007110000122338533 4e-05
SDSS:r 0.6246977662012919 0.013199999928474426 0.0003
SDSS:i 0.7634912086792646 0.014800000004470348 0.0002
SDSS:z 0.9017941824088558 0.017999999225139618 0.0005
2MASS:J 1.239016606050587 0.03125333351393541 0.0033970575
2MASS:H 1.6494770729023385 0.050713333487510684 0.0048805736
2MASS:Ks 2.1637853338145083 0.06936428855572428 0.0054175635
:=3.6um 3.599986286565157 0.04600000008940697 0.0046
WISE:W1 3.350010705106716 0.13554545559666373 0.009273618
WISE:W2 4.600019302768061 0.15427272563630884 0.009273618
WISE:W3 11.559823320737253 0.23944444126553005 0.008944272
WISE:W4 22.090668189521775 0.6068889035118951 0.03971146
IRAS:12 11.590213330240472 0.2240000069141388 0.025
IRAS:25 23.880234028994742 0.68299999833107 0.06983552
IRAS:60 61.84986032885641 1.149999976158142 0.11661904
IRAS:100 101.94941780588996 1.2399999797344208 0.37947333
Herschel/PACS:70 69.99917297095358 1.0399999618530273 0.084852815
Herschel/PACS:160 160.0002444361424 0.9419999718666077 0.071
Herschel/SPIRE:250 249.99371080720482 0.6119999885559082 0.087
Herschel/SPIRE:350 362.9976001356129 0.2370000034570694 0.039
:=250um 249.99371080720482 0.6119999885559082 0.087
:=350um 349.99995096608495 0.2370000034570694 0.039
:=1.4GHz 214137.47000000003 0.2750000059604645 0.011401755
"2-10 keV (XMM)" 0.00020675341931034483 8e-07 5.52e-09
"W1 (WISE)" 3.3533831991051453 0.13333333333333333 0.0029693938775447086
"W2 (WISE)" 4.60510688172043 0.153 0.002999085860724898
"W3 (WISE)" 11.574998378378377 0.244 0.004060985102164252
"W4 (WISE)" 22.0435630882353 0.5826666666666668 0.015300081699128276
"3.6 microns (IRAC)" 3.5520433412322276 0.0922 0.00509
"4.5 microns (IRAC)" 4.494639550224888 0.102 0.00561
"5.8 microns (IRAC)" 5.732169369024856 0.105 0.00483
"8.0 microns (IRAC)" 7.86856845144357 0.143 0.00658
"12 microns (IRAS)" 11.99169832 0.224 0.0246
"25 microns (IRAS)" 24.982704833333333 0.687 0.0112
"60 microns (IRAS)" 59.958491599999995 1.18 0.0592
"24 microns (MIPS)" 23.60570535433071 0.5569999999999999 0.0003437964514069335
1.4GHz 214137.47 0.275 0.0098
