Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 3.7733332192146918e-06 2.7712813e-06
GALEX:NUV 0.23119646641474512 3.9799999891935535e-05 5.8889727e-06
SDSS:g' 0.48199694202385923 0.0011899999808520079 4e-05
SDSS:r' 0.6246977662012919 0.0022100000642240047 0.00016
SDSS:i' 0.7634912086792645 0.0029200001154094934 0.00019
SDSS:u 0.3519021246126397 0.00030649999644083437 1.5811389e-05
SDSS:g 0.48199694202385923 0.0006874999962747097 7.368175e-05
SDSS:r 0.6246977662012919 0.002411249981378205 0.000107238055
SDSS:i 0.7634912086792645 0.0031575000466546044 8.6023254e-05
SDSS:z 0.9017941824088558 0.004227500001434237 0.00017635192
2MASS:J 1.239016606050587 0.004638461503558434 0.0007341662
2MASS:H 1.6494770729023385 0.0058823075646964405 0.0010940749
2MASS:Ks 2.1637853338145083 0.006213333147267501 0.0011892435
WISE:W1 3.350010705106716 0.009187857254541345 0.0006691786
WISE:W2 4.600019302768061 0.017469230537804272 0.0010723806
WISE:W3 11.559823320737253 0.14636666079362234 0.006652068
WISE:W4 22.09066818952177 0.5551818311214447 0.024474477
:=1.4GHz 214137.47000000003 0.3203999936580658 0.020024985
"2-10 keV (XMM)" 0.00020675341931034483 5.31e-08 7.59e-09
"0.5-2 keV (XMM)" 0.0009926902582781457 9.17e-08 1.09e-08
"W1 (WISE)" 3.3533831991051453 0.00942 0.0002130972078653308
"W2 (WISE)" 4.60510688172043 0.017766666666666667 0.0003644233938703716
"W3 (WISE)" 11.574998378378377 0.15866666666666665 0.0024532674130636474
"W4 (WISE)" 22.0435630882353 0.551 0.008652329166184098
"3.6 microns (IRAC)" 3.5520433412322276 0.0131 0.00193
"4.5 microns (IRAC)" 4.494639550224888 0.0199 0.00256
"5.8 microns (IRAC)" 5.732169369024856 0.0421 0.00388
"8.0 microns (IRAC)" 7.86856845144357 0.0877 0.00485
"12 microns (IRAS)" 11.99169832 0.308 0.037
"60 microns (IRAS)" 59.958491599999995 1.05 0.178
"100 microns (IRAS)" 99.93081933333333 0.648 0.142
"24 microns (MIPS)" 23.60570535433071 0.5515000000000001 0.00044384682042344296
1.4GHz 214137.47 0.319 0.0096
