Filter Wave Flux F_er
SDSS:g 0.48199694202385923 0.0005799999926239252 3e-06
SDSS:r 0.6246977662012919 0.0006329999887384474 5e-06
SDSS:i 0.7634912086792645 0.0006319999811239541 8e-06
SDSS:z 0.9017941824088558 0.0007699999841861427 9e-06
2MASS:J 1.239016606050587 0.0009528181663799015 0.00016616558
2MASS:H 1.649477072902339 0.0009184545223516496 0.00023370281
2MASS:Ks 2.1637853338145083 0.0012769999681040644 0.0003132092
WISE:W1 3.3500107051067167 0.0031965461519296067 0.00023066951
WISE:W2 4.600019302768061 0.005834166775457561 0.00038923
WISE:W3 11.559823320737255 0.013690000120550393 0.0007071068
WISE:W4 22.09066818952177 0.03696666575140423 0.0034727512
Spitzer/MIPS:24 23.674678828081813 0.02889999933540821 0.0001
:=1.4GHz 214137.47000000003 8.925000190734863 0.5080354
"W1 (WISE)" 3.364789264408224 0.00355 0.00011271175626348833
"W2 (WISE)" 4.60334111987928 0.00598 0.00017228676675821623
"W3 (WISE)" 11.679173363783782 0.0142 0.0004258802648632594
"W4 (WISE)" 22.043563088235295 0.03505 0.001768051469839043
"24 microns (MIPS)" 23.60570535433071 0.0281 0.0028
"70 microns (MIPS)" 71.37915666666667 0.0346 0.0084
1.4GHz 214137.47 13.8 0.413
