Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00031999999191612005 3.9509494e-05
GALEX:NUV 0.23119646641474514 0.0019049999536946416 6e-05
SDSS:u' 0.3519021246126397 0.005419999826699495 2e-05
SDSS:g' 0.48199694202385923 0.006459999829530716 2e-05
SDSS:r' 0.6246977662012919 0.006709999870508909 2e-05
SDSS:i' 0.7634912086792645 0.00798999983817339 2e-05
SDSS:z' 0.9017941824088558 0.007029999978840351 2e-05
2MASS:J 1.239016606050587 0.009531666524708271 0.00068271515
2MASS:H 1.649477072902339 0.02064166683703661 0.0013674794
2MASS:Ks 2.1637853338145083 0.04454545338045467 0.0021908903
WISE:W1 3.3500107051067167 0.073204446480506 0.004669272
WISE:W2 4.600019302768061 0.11025333334691823 0.0053854994
WISE:W3 11.559823320737255 0.17970000416971743 0.0079429215
WISE:W4 22.09066818952177 0.3873714386884655 0.016414627
IRAS:12 11.59021333024047 0.2409999966621399 0.034
IRAS:25 23.880234028994746 0.6240000128746033 0.075073294
IRAS:60 61.84986032885643 1.75 0.21260291
IRAS:100 101.94941780588996 1.8700000047683716 0.17
Spitzer/MIPS:24 23.674678828081817 0.4503333394726117 0.003464102
:=1.4GHz 214137.47000000003 0.04026666656136513 0.0018708287
"12 microns (IRAS)" 11.99169832 0.264 0.0238
"25 microns (IRAS)" 24.982704833333333 0.534 0.0185
"60 microns (IRAS)" 59.958491599999995 1.69 0.0846
"100 microns (IRAS)" 99.93081933333333 1.73 0.19
