Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.2200000128359534e-05 5.6568542e-06
GALEX:NUV 0.23119646641474512 1.0933333517944751e-05 3.8105115e-06
2MASS:J 1.239016606050587 0.0002957500073534902 0.00011475191
2MASS:H 1.6494770729023387 0.0004437500065250788 0.00020075608
2MASS:Ks 2.1637853338145083 0.0007475999824237079 0.00023610167
WISE:W1 3.350010705106716 0.0018599999769191658 0.0001
WISE:W2 4.600019302768061 0.007367500104010105 0.00034278273
WISE:W3 11.559823320737253 0.02686666635175546 0.0010246951
WISE:W4 22.090668189521775 0.09521666665871938 0.0054772254
IRAS:60 61.849860328856415 1.2999999523162842 0.13
Spitzer/MIPS:24 23.674678828081813 0.09719999879598618 0.0003
"W1 (WISE)" 3.3533831991051453 0.0018833333333333332 4.913786727158597e-05
"W2 (WISE)" 4.60510688172043 0.007403333333333334 0.00015145233573636295
"W3 (WISE)" 11.574998378378377 0.027266666666666665 0.0005706522583850869
"W4 (WISE)" 22.0435630882353 0.08913333333333334 0.0028094305472817797
"3.6 microns (IRAC)" 3.5520433412322276 0.00259 0.0003015653328882483
"5.8 microns (IRAC)" 5.732169369024856 0.022166666666666668 0.002008321189451528
"25 microns (IRAS)" 24.982704833333333 0.133 0.0102
"60 microns (IRAS)" 59.958491599999995 1.2 0.0837
"100 microns (IRAS)" 99.93081933333333 1.19 0.119
"70 microns (MIPS)" 71.37915666666667 1.5 0.225
"160 microns (MIPS)" 156.14190520833333 0.54 0.08
