Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0005134000210091471 3.487119e-05
GALEX:NUV 0.23119646641474514 0.0006921999854966998 2.4839484e-05
SDSS:u' 0.3519021246126397 0.0010966666353245575 1.7320508e-05
SDSS:g' 0.48199694202385934 0.0015399999683722854 0.00011
SDSS:r' 0.6246977662012919 0.001833333362204333 0.00018055469
SDSS:i' 0.7634912086792643 0.0022266666249682507 0.00030033317
SDSS:z' 0.9017941824088558 0.0023499999660998583 3e-05
SDSS:u 0.35190212461263964 0.0009756250219652429 2.3345236e-05
SDSS:g 0.48199694202385923 0.001340000017080456 0.00012041594
SDSS:r 0.6246977662012919 0.0016433333124344547 0.00018138356
SDSS:i 0.7634912086792645 0.0020111111225560308 0.0003013304
SDSS:z 0.9017941824088561 0.0021450000058393925 2.828427e-05
2MASS:J 1.2390166060505867 0.0020660000038333235 0.00060926186
2MASS:H 1.649477072902338 0.0028415000648237764 0.00076347886
2MASS:Ks 2.1637853338145083 0.0038077777329211435 0.00091482245
WISE:W1 3.350010705106716 0.006798571308276483 0.00047222883
WISE:W2 4.600019302768061 0.009943845896766735 0.00063
WISE:W3 11.559823320737253 0.03823333388815323 0.002078461
WISE:W4 22.09066818952177 0.11281818151473999 0.00969536
Spitzer/MIPS:70 71.41996807699637 0.19300000369548798 0.009
Spitzer/MIPS:160 155.8983140925637 0.23600000143051147 0.036
Herschel/PACS:70 69.99917297095358 0.1889999955892563 0.002
Herschel/PACS:100 100.00081990726842 0.17499999701976776 0.004
Herschel/PACS:160 160.0002444361424 0.12700000405311584 0.01
Herschel/SPIRE:250 249.99371080720482 0.052799999713897705 0.01
:=1.4GHz 214137.47 0.002084999985527247 0.00019798991
"2-10 keV (XMM)" 0.0002067534193103448 1.3900000000000001e-07 2.3076611536358627e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 1.61e-06 3.31e-08
"W1 (WISE)" 3.3533831991051453 0.0067399999999999995 0.00014923340778793466
"W2 (WISE)" 4.60510688172043 0.0099 0.000205027412801313
"W3 (WISE)" 11.574998378378377 0.039066666666666666 0.0013516604603227838
"W4 (WISE)" 22.0435630882353 0.10746666666666667 0.0049142242521073454
"60 microns (IRAS)" 59.958491599999995 0.277 0.08856613348227413
"100 microns (IRAS)" 99.93081933333333 0.362 0.121
