Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 9.594999937689863e-06 5.8898218e-06
GALEX:NUV 0.23119646641474512 1.5150000308494782e-05 3.6069378e-06
SDSS:u' 0.3519021246126397 7.810000170138665e-05 5.9464273e-06
SDSS:g' 0.48199694202385923 0.0003125000075669959 3.6055512e-06
SDSS:r' 0.6246977662012919 0.0006385000015143305 7.2111025e-06
SDSS:i' 0.7634912086792645 0.0011099999537691474 1e-05
SDSS:z' 0.9017941824088558 0.0012950000236742198 1.4142135e-05
SDSS:u 0.3519021246126397 7.310000000870787e-05 7.634789e-06
SDSS:g 0.48199694202385934 0.0002681428616467331 5.2915025e-06
SDSS:r 0.6246977662012919 0.0004897250039448409 9.516301e-06
SDSS:i 0.7634912086792645 0.00018464999538991833 3.201562e-06
SDSS:z 0.9017941824088558 0.0011508571707443999 2.5e-05
2MASS:J 1.239016606050587 0.0010144615393633454 0.00034981853
2MASS:H 1.6494770729023385 0.0014407692226366354 0.0005197114
2MASS:Ks 2.163785333814508 0.0017408333175505202 0.0005739338
WISE:W1 3.3500107051067163 0.0013199999876734284 8.717798e-05
WISE:W2 4.600019302768061 0.0025200000032782554 0.00016462077
WISE:W3 11.559823320737255 0.015699999872595072 0.0008485282
WISE:W4 22.09066818952177 0.13250000029802322 0.008485282
:=1.4GHz 214137.4700000001 0.008778000064194203 0.0011478241
"W1 (WISE)" 3.3524464998875185 0.0013675 5.907537558069352e-05
"W2 (WISE)" 4.60334111987928 0.0025525 0.00010770301759932263
"W3 (WISE)" 11.574998378378378 0.0163 0.0006025097509584389
"W4 (WISE)" 22.043563088235295 0.1265 0.0049166757062063795
"3.6 microns (IRAC)" 3.5520433412322276 0.001165 2.3681427321848658e-05
"4.5 microns (IRAC)" 4.494639550224888 0.00223 3.167222758190526e-05
"5.8 microns (IRAC)" 5.732169369024856 0.006585000000000001 0.00011242392983702358
"8.0 microns (IRAC)" 7.86856845144357 0.015550000000000001 9.655946354449159e-05
"25 microns (IRAS)" 24.982704833333333 0.235 0.0285
"60 microns (IRAS)" 59.958491599999995 2.28 0.137
"100 microns (IRAS)" 99.93081933333333 1.82 0.163
1.4GHz 214137.47 0.0089 0.0006
