Filter Wave Flux F_er
SDSS:u 0.3519021246126397 0.00014699999883305281 8e-06
SDSS:g 0.48199694202385923 0.0003859999997075647 9e-06
SDSS:r 0.6246977662012919 0.00033110001459135674 2.3114713e-05
SDSS:i 0.7634912086792645 0.00037080000765854493 1.885232e-05
SDSS:z 0.9017941824088558 0.0008299999753944576 4.6e-05
2MASS:J 1.239016606050587 0.0023629999603144826 0.0004812484
2MASS:H 1.649477072902339 0.003502000076696277 0.00075723184
2MASS:Ks 2.163785333814508 0.005267777894106176 0.0008574964
WISE:W1 3.350010705106716 0.006541999895125628 0.0005017968
WISE:W2 4.600019302768061 0.011817999929189683 0.0007256032
WISE:W3 11.559823320737253 0.0487666679546237 0.002424871
WISE:W4 22.090668189521775 0.12391666509211063 0.010392305
Herschel/PACS:70 69.99917297095358 0.17900000512599945 0.015556349
Herschel/PACS:160 160.0002444361424 0.1420000046491623 0.025
Herschel/SPIRE:250 249.99371080720482 0.10899999737739563 0.021
:=250um 249.99371080720482 0.10899999737739563 0.021
:=1.4GHz 214137.47000000003 0.008949999697506428 0.0011180341
"W1 (WISE)" 3.3533831991051453 0.006963333333333333 0.0001524370361821562
"W2 (WISE)" 4.60510688172043 0.0122 0.00024773132623872983
"W3 (WISE)" 11.574998378378377 0.050866666666666664 0.0008436284727295541
"W4 (WISE)" 22.0435630882353 0.11513333333333332 0.00363523039159831
"24 microns (MIPS)" 23.60570535433071 0.113 9.750866628151572e-05
1.4GHz 214137.47 0.008 0.0005
