Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.383333346893778e-05 5.436911e-06
GALEX:NUV 0.23119646641474512 3.1366666007670574e-05 5.31225e-06
SDSS:u' 0.3519021246126397 0.000195999993593432 5e-06
SDSS:g' 0.48199694202385923 0.0007104999967850745 3.2140317e-05
SDSS:r' 0.6246977662012919 0.001509999972768128 6.0827624e-05
SDSS:i' 0.7634912086792645 0.0026050000451505184 0.0003601389
SDSS:z' 0.9017941824088558 0.003530000103637576 2e-05
2MASS:J 1.239016606050587 0.0028137500630691648 0.00064637454
2MASS:H 1.6494770729023387 0.003878750081639737 0.0009462558
2MASS:Ks 2.1637853338145083 0.0039814286200063565 0.0008959911
WISE:W1 3.3500107051067163 0.004601249936968088 0.00025019993
WISE:W2 4.600019302768061 0.006355000019539148 0.00030248967
WISE:W3 11.559823320737255 0.03216666790346304 0.001224745
WISE:W4 22.090668189521775 0.13179999887943267 0.006708204
Spitzer/MIPS:24 23.674678828081813 0.12999999523162842 0.001
:=1.4GHz 214137.47000000003 0.008785000361967832 0.00017204651
"W1 (WISE)" 3.3533831991051453 0.00493 0.00011183313462476137
"W2 (WISE)" 4.60510688172043 0.006506666666666667 0.00015189947333680916
"W3 (WISE)" 11.574998378378377 0.03386666666666666 0.0007246095500336716
"W4 (WISE)" 22.0435630882353 0.12266666666666666 0.0038409113501876087
