Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.00019550000070012175 2.1071308e-05
GALEX:NUV 0.23119646641474514 0.00034800000867107883 1.8520259e-05
SDSS:g' 0.48199694202385923 0.007340000011026859 0.0018
SDSS:r' 0.6246977662012919 0.016300000250339508 0.0004
SDSS:i' 0.7634912086792645 0.021400000900030136 0.0025
SDSS:u 0.3519021246126397 0.0010600000387057662 5e-05
SDSS:g 0.48199694202385923 0.005704999901354313 0.0018039956
SDSS:r 0.6246977662012919 0.011830000206828117 0.0006594695
SDSS:i 0.7634912086792646 0.013480000430718064 0.0026027677
SDSS:z 0.9017941824088558 0.006659999955445528 0.00046
2MASS:J 1.239016606050587 0.028506667042771976 0.004843552
2MASS:H 1.6494770729023387 0.033993333702286084 0.0079661785
2MASS:Ks 2.163785333814508 0.0369153840897175 0.0050705024
WISE:W1 3.350010705106717 0.05422999933362007 0.0034554305
WISE:W2 4.600019302768061 0.11209090731360695 0.0061644143
WISE:W3 11.559823320737253 0.6954444514380561 0.025999999
WISE:W4 22.090668189521775 2.241111093097263 0.08544003
IRAS:25 23.880234028994746 2.7899999618530273 0.22
IRAS:60 61.84986032885642 5.710000038146973 0.46
Herschel/PACS:70 69.99917297095358 5.099999904632568 0.3676955
Herschel/PACS:160 160.0002444361424 3.440000057220459 0.2
Herschel/SPIRE:250 249.99371080720482 0.9860000014305115 0.055
Herschel/SPIRE:350 362.9976001356129 0.3840000033378601 0.023
Herschel/SPIRE:500 516.9994274578785 0.12399999797344208 0.011
:=250um 249.99371080720482 0.9860000014305115 0.055
:=350um 349.99995096608495 0.3840000033378601 0.023
:=500um 499.99576043629816 0.12399999797344208 0.011
:=1.4GHz 214137.47000000003 0.2768000066280365 0.013928389
"2-10 keV (XMM)" 0.00020675341931034483 1.45e-07 1.38e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 1.19e-07 3.97e-08
"W1 (WISE)" 3.3533831991051453 0.056999999999999995 0.0012206752229811171
"W2 (WISE)" 4.60510688172043 0.11266666666666668 0.0022156258709448216
"W3 (WISE)" 11.574998378378377 0.722 0.010784433225719375
"W4 (WISE)" 22.0435630882353 2.17 0.0376655014569035
"3.6 microns (IRAC)" 3.5520433412322276 0.042749999999999996 1.7960512242138308e-05
"12 microns (IRAS)" 11.99169832 0.8863333333333333 0.2532628871350874
"25 microns (IRAS)" 24.982704833333333 2.966666666666667 0.37132439995238664
"60 microns (IRAS)" 59.958491599999995 4.94 1.673590152934702
"100 microns (IRAS)" 99.93081933333333 4.595 1.6224342821821782
"24 microns (MIPS)" 23.60570535433071 2.3049999999999997 0.0005078434798242466
"70 microns (PACS)" 70.0449668224299 6.18 0.238
"100 microns (PACS)" 102.31824505119454 6.45 0.234
"160 microns (PACS)" 165.63119226519336 5.2 0.174
"250 microns (SPIRE)" 249.82704833333332 2.44 0.108
"350 microns (SPIRE)" 349.81617036172696 1.02 0.047
"500 microns (SPIRE)" 499.65409666666665 0.33 0.017
1.4GHz 214137.47 0.275 0.0083
