Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.0026000000070780516 3e-05
SDSS:r' 0.6246977662012919 0.005140000022947788 0.00032
SDSS:i' 0.7634912086792645 0.006560000125318766 0.00042
2MASS:J 1.239016606050587 0.0066271428284900525 0.0012580542
2MASS:H 1.6494770729023385 0.00830999987998179 0.002024327
2MASS:Ks 2.163785333814508 0.008452999871224165 0.0013766626
WISE:W1 3.3500107051067163 0.010284444420701928 0.00050019997
WISE:W2 4.600019302768061 0.009286666495932473 0.0004224926
WISE:W3 11.559823320737255 0.009993333214273056 0.00048590123
WISE:W4 22.09066818952177 0.0162285715341568 0.0025768199
Spitzer/MIPS:24 23.674678828081813 0.014999999664723873 0.0005
Herschel/SPIRE:250 249.99371080720482 0.12700000405311584 0.025
:=250um 249.99371080720482 0.12700000405311584 0.025
"2-10 keV (XMM)" 0.00020675341931034483 7.21e-07 2.1109940786274128e-08
"0.5-2 keV (XMM)" 0.0009926902582781457 1.4900000000000001e-06 1.0367511755479228e-07
"W1 (WISE)" 3.3533831991051453 0.011633333333333334 0.00023509878774676828
"W2 (WISE)" 4.60510688172043 0.01013 0.00020258257575615925
"W3 (WISE)" 11.574998378378377 0.011433333333333332 0.0003671157855500087
"W4 (WISE)" 22.0435630882353 0.015866666666666668 0.0016726464061480536
