Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.0037899999879300594 0.0001
SDSS:r' 0.6246977662012919 0.008209999650716782 0.00017
SDSS:u 0.35190212461263964 0.0016055416710211527 3.320482e-05
SDSS:g 0.48199694202385934 0.005197692284127697 0.00018354834
SDSS:r 0.6246977662012919 0.002519749934435822 5.6789082e-05
SDSS:i 0.7634912086792643 0.0011079999967478216 5.1283525e-05
SDSS:z 0.9017941824088561 0.02316858304887622 0.00032716512
2MASS:J 1.239016606050587 0.019958332957079012 0.0017578396
2MASS:H 1.649477072902339 0.028616666638602812 0.0027658634
2MASS:Ks 2.163785333814508 0.02207500021904707 0.0023874673
WISE:W1 3.3500107051067167 0.02630000002682209 0.0014456833
WISE:W2 4.600019302768061 0.04681111127138138 0.0024617068
WISE:W3 11.559823320737253 0.2634444402323829 0.009110434
WISE:W4 22.09066818952177 1.1121111048592462 0.05678908
:=1.4GHz 214137.47000000003 0.0987749993801117 0.004272002
"W1 (WISE)" 3.3533831991051453 0.031466666666666664 0.0005990976548109666
"W2 (WISE)" 4.60510688172043 0.049800000000000004 0.0009651139829056462
"W3 (WISE)" 11.574998378378377 0.28099999999999997 0.004249447022848973
"W4 (WISE)" 22.0435630882353 1.0473333333333332 0.02047268424022605
"3.6 microns (IRAC)" 3.5520433412322276 0.021400000000000002 1.3902071788046558e-05
"5.8 microns (IRAC)" 5.732169369024856 0.08305 8.708800146977769e-06
"8.0 microns (IRAC)" 7.86856845144357 0.1475 9.939195138440538e-06
"12 microns (IRAS)" 11.99169832 0.4415 0.04110960958218893
"25 microns (IRAS)" 24.982704833333333 1.43 0.030558795787792425
"60 microns (IRAS)" 59.958491599999995 8.175 0.4100548743765887
"100 microns (IRAS)" 99.93081933333333 11.2 0.7845113128566089
"24 microns (MIPS)" 23.60570535433071 1.05 0.0005428904125143489
"70 microns (PACS)" 70.0449668224299 4.847499999999999 0.4571214280691729
"100 microns (PACS)" 102.31824505119454 6.47 0.5840898903422315
"160 microns (PACS)" 165.63119226519336 5.4350000000000005 0.46859043950981333
"250 microns (SPIRE)" 249.82704833333332 2.56 0.2583060200614767
"350 microns (SPIRE)" 349.81617036172696 1.0145 0.10288342918079665
"500 microns (SPIRE)" 499.65409666666665 0.326 0.03511409973215888
