Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.010999999940395355 0.0002
SDSS:r' 0.6246977662012919 0.04450000077486038 0.002
SDSS:i' 0.7634912086792645 0.10300000011920929 0.003
SDSS:g 0.48199694202385923 0.00343999988399446 0.00047
SDSS:r 0.6246977662012919 0.009600000455975533 0.0016
2MASS:J 1.239016606050587 4.444035687084709 1.83014
2MASS:H 1.6494770729023382 1.3430750016123056 0.19495828
2MASS:Ks 2.1637853338145074 1.0313333140479193 0.16970561
WISE:W1 3.3500107051067167 4.899599975347519 1.2346355
WISE:W2 4.600019302768061 5.722999995946884 1.7277153
WISE:W3 11.559823320737255 38.02499961853027 17.352234
WISE:W4 22.09066818952177 72.01249980926514 4.6872168
:=250um 249.99371080720482 184.0 21.0
:=500um 499.99576043629816 24.100000381469727 2.9
:=1.4GHz 214137.47000000003 1.5 0.08
"W1 (WISE)" 3.3533831991051453 2.6176666666666666 0.5870410889367115
"W2 (WISE)" 4.60510688172043 2.853666666666667 0.8420363556284253
"W3 (WISE)" 11.574998378378377 15.986333333333334 9.370025383636907
"W4 (WISE)" 22.0435630882353 35.5 0.2402436263462571
"12 microns (IRAS)" 11.99169832 18.8 0.752
"25 microns (IRAS)" 24.982704833333333 68.4 2.74
"60 microns (IRAS)" 59.958491599999995 249.0 24.9
"100 microns (IRAS)" 99.93081933333333 316.0 31.6
