Filter Wave Flux F_er
SDSS:g 0.48199694202385923 9.624999802326784e-05 1.1034492e-05
SDSS:r 0.6246977662012919 0.0001629999969736673 1.6278822e-05
SDSS:i 0.7634912086792645 0.00019224999959988054 2.8231188e-05
SDSS:z 0.9017941824088558 0.000450999999884516 2.5e-05
2MASS:J 1.239016606050587 0.008421817984939977 0.002689907
2MASS:H 1.649477072902339 0.012204545253718441 0.0035986248
2MASS:Ks 2.1637853338145083 0.007727272660386833 0.0031098071
WISE:W1 3.350010705106716 0.01066307659046008 0.00068432454
WISE:W2 4.600019302768061 0.012899999817212423 0.00072111026
WISE:W3 11.559823320737253 0.12260000184178352 0.013416408
WISE:W4 22.090668189521775 0.6714444557825724 0.02469818
IRAS:25 23.880234028994742 1.059999942779541 0.35355338
IRAS:60 61.84986032885642 2.3299999237060547 0.22627416
Spitzer/MIPS:24 23.674678828081813 0.5879999995231628 0.0014142137
:=1.4GHz 214137.47000000006 1600.0 40.0
"4.5 microns (IRAC)" 4.494639550224888 0.00839 9.355089523890191e-07
"12 microns (IRAS)" 11.99169832 0.14200000000000002 0.023157072353818822
"25 microns (IRAS)" 24.982704833333333 0.9315000000000001 0.28830192507161656
"60 microns (IRAS)" 59.958491599999995 2.73 0.45772043869593587
"24 microns (MIPS)" 23.60570535433071 0.456 0.0011688798056258822
