Filter Wave Flux F_er
SDSS:g 0.48199694202385923 0.0001475000026402995 2.2090722e-05
SDSS:r 0.6246977662012919 0.00035200000274926424 1e-05
SDSS:i 0.7634912086792645 0.00043450000521261245 2.84605e-05
SDSS:z 0.9017941824088558 0.000750000006519258 5.6e-05
2MASS:J 1.239016606050587 0.004425454588437622 0.00067074585
2MASS:H 1.649477072902339 0.006720909086818045 0.0009743716
2MASS:Ks 2.163785333814508 0.008052999991923571 0.0010761969
WISE:W1 3.3500107051067167 0.006732000038027763 0.0003878144
WISE:W2 4.600019302768061 0.005780000053346157 0.0002787472
WISE:W3 11.559823320737253 0.04968749941326678 0.0019026297
WISE:W4 22.090668189521775 0.24312499910593033 0.010630147
"FUV (GALEX)" 0.1529553357142857 2.42e-06 7.8e-07
"NUV (GALEX)" 0.22711549848484847 7.25e-06 6.24e-07
"W1 (WISE)" 3.3533831991051453 0.00723 0.00015456545539026503
"W2 (WISE)" 4.60510688172043 0.006226666666666668 0.0001275556741191861
"W3 (WISE)" 11.574998378378377 0.05436666666666667 0.0010052357932346023
"W4 (WISE)" 22.0435630882353 0.24433333333333332 0.005147251693865377
"3.6 microns (IRAC)" 3.5520433412322276 0.00583 6.159001542457998e-06
"4.5 microns (IRAC)" 4.494639550224888 0.005375 8.46414201204115e-06
"5.8 microns (IRAC)" 5.732169369024856 0.01195 2.725013761433142e-05
"24 microns (MIPS)" 23.60570535433071 0.2665 0.00023992707225321615
