Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0002572000026702881 2.9529645e-05
GALEX:NUV 0.23119646641474514 0.000504200009163469 2.9529645e-05
SDSS:u' 0.3519021246126397 0.0010733333183452487 1.7320508e-05
SDSS:g' 0.48199694202385923 0.002740000064174334 0.00017058723
SDSS:r' 0.6246977662012919 0.004540000110864639 0.00022045407
SDSS:i' 0.7634912086792645 0.0065233333346744376 0.0003906405
SDSS:z' 0.9017941824088558 0.009165000170469284 4.2426407e-05
2MASS:J 1.239016606050587 0.008542857232636638 0.0017200001
2MASS:H 1.649477072902339 0.009276666523267826 0.0017733584
2MASS:Ks 2.1637853338145083 0.009505000244826079 0.0015214138
WISE:W1 3.3500107051067167 0.011537499958649278 0.00050990196
WISE:W2 4.600019302768061 0.01201249985024333 0.00050990196
WISE:W3 11.559823320737255 0.1699999993046125 0.00489898
WISE:W4 22.09066818952177 1.0204285979270935 0.049081564
IRAS:25 23.880234028994742 1.5199999809265137 0.15556349
IRAS:60 61.84986032885642 9.390000343322754 0.933381
IRAS:100 101.94941780588998 10.300000190734863 0.8
:=1.4GHz 214137.47000000006 0.04313333301494519 0.0026038433
"2-10 keV (XMM)" 0.00020675341931034483 2.9e-09 2.34e-09
"0.5-2 keV (XMM)" 0.0009926902582781457 1.16e-08 2.98e-09
"W1 (WISE)" 3.349636402234637 0.0152 0.000154
"W2 (WISE)" 4.5980438343558285 0.0145 0.000267
"W3 (WISE)" 11.574998378378378 0.19 0.00227
"W4 (WISE)" 22.043563088235295 1.18 0.0131
"12 microns (IRAS)" 11.99169832 0.2575 0.09786725703727472
"25 microns (IRAS)" 24.982704833333333 1.42 0.14332567809014546
"60 microns (IRAS)" 59.958491599999995 9.2375 0.4157703693146013
"100 microns (IRAS)" 99.93081933333333 10.375 0.5736671508810662
"70 microns (PACS)" 70.0449668224299 9.03 0.452
"100 microns (PACS)" 102.31824505119454 9.12 0.456
"160 microns (PACS)" 165.63119226519336 5.58 0.279
"250 microns (SPIRE)" 249.82704833333332 2.28 0.137
"350 microns (SPIRE)" 349.81617036172696 0.863 0.053
"500 microns (SPIRE)" 499.65409666666665 0.254 0.016
