Filter Wave Flux F_er
SDSS:u 0.3519021246126397 0.00032900000223889947 1.2e-05
SDSS:g 0.48199694202385923 0.000645000021904707 2e-05
SDSS:r 0.6246977662012919 0.0012400000123307109 4e-05
SDSS:i 0.7634912086792645 0.001290000043809414 6e-05
SDSS:z 0.9017941824088558 0.0016400000313296914 0.0001
2MASS:J 1.239016606050587 0.0027141666505485773 0.00068190915
2MASS:H 1.6494770729023385 0.004344999964814633 0.0010741042
2MASS:Ks 2.1637853338145083 0.007664444235463937 0.0011432847
WISE:W1 3.350010705106717 0.01937272755259817 0.0012806249
WISE:W2 4.600019302768061 0.02610909075222232 0.0015937379
WISE:W3 11.559823320737253 0.058822223295768104 0.002435159
WISE:W4 22.090668189521775 0.1348888940281338 0.009000001
Herschel/PACS:70 69.99917297095358 0.12999999523162842 0.015556349
Herschel/PACS:160 160.0002444361424 0.3050000071525574 0.023
Herschel/SPIRE:250 249.99371080720482 0.4860000014305115 0.028
Herschel/SPIRE:350 362.9976001356129 0.6169999837875366 0.035
Herschel/SPIRE:500 516.9994274578785 0.7749999761581421 0.044
:=250um 249.99371080720482 0.4860000014305115 0.028
:=350um 349.99995096608495 0.6169999837875366 0.035
:=500um 499.99576043629816 0.7749999761581421 0.044
"0.5-2 keV (XMM)" 0.0009926902582781457 3.3924999999999994e-08 6.62e-09
"W1 (WISE)" 3.3533831991051453 0.019833333333333335 0.0004308004178270954
"W2 (WISE)" 4.60510688172043 0.0267 0.000534394049368067
"W3 (WISE)" 11.574998378378377 0.0613 0.0009987036597509794
"W4 (WISE)" 22.0435630882353 0.12666666666666668 0.0034443977702930885
"4.5 microns (IRAC)" 4.494639550224888 0.0363 5.387439094783346e-06
"12 microns (IRAS)" 11.99169832 0.109 0.0163
"25 microns (IRAS)" 24.982704833333333 0.16 0.024
"60 microns (IRAS)" 59.958491599999995 0.163 0.0244
"24 microns (MIPS)" 23.60570535433071 0.12666666666666668 8.494356950352393e-05
"70 microns (MIPS)" 71.37915666666667 0.171 0.005
"160 microns (MIPS)" 156.14190520833333 0.475 0.04
