Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0006070000235922635 4.330127e-05
GALEX:NUV 0.23119646641474512 0.0009430000209249556 3.6959438e-05
SDSS:u' 0.3519021246126397 0.0028650000458583236 2.828427e-05
SDSS:g' 0.48199694202385923 0.004900000058114529 0.00024
SDSS:r' 0.6246977662012919 0.020250000059604645 0.0013038404
SDSS:i' 0.7634912086792646 0.03133333350221316 0.0015066519
SDSS:z' 0.9017941824088558 0.04884999990463257 0.00014142136
SDSS:g 0.4819969420238595 0.00958804682942725 0.0016002941
SDSS:r 0.6246977662012919 0.027763096899068255 0.0026889192
SDSS:i 0.7634912086792642 0.03601033332189686 0.0024213262
SDSS:z 0.9017941824088557 0.04797641586236276 0.0056868796
2MASS:J 1.239016606050587 0.027733333905537925 0.004126742
2MASS:H 1.6494770729023385 0.036566667010386786 0.0068249535
2MASS:Ks 2.163785333814508 0.0522499999829701 0.0058223708
WISE:W1 3.3500107051067163 0.025161538559656877 0.0016970565
WISE:W2 4.600019302768061 0.01911666678885619 0.0012767145
WISE:W3 11.559823320737253 0.06743636456402866 0.0029732136
WISE:W4 22.090668189521768 0.22508333126703897 0.016155494
IRAS:60 61.84986032885642 0.5329999923706055 0.043
Spitzer/MIPS:24 23.674678828081813 0.2460000067949295 0.001
Herschel/PACS:70 69.99917297095358 0.5450000166893005 0.050911684
Herschel/PACS:160 160.0002444361424 1.8799999952316284 0.11
Herschel/SPIRE:250 249.99371080720482 0.9090000092983246 0.11065261
Herschel/SPIRE:350 362.9976001356129 0.44600000232458115 0.074813105
Herschel/SPIRE:500 516.9994274578785 0.19099999964237213 0.029068884
:=250um 249.99371080720482 1.4700000286102295 0.11
:=350um 349.99995096608495 0.6430000066757202 0.074
:=500um 499.99576043629816 0.23399999737739563 0.026
:=1.4GHz 214137.47000000006 0.015257499762810767 0.0014797298
"2-10 keV (XMM)" 0.00020675341931034483 4.085e-07 7.621299101859211e-09
"0.5-2 keV (XMM)" 0.0009926902582781457 6.99e-07 3.6550186046038126e-08
"FUV (GALEX)" 0.15373972205128206 0.00011899999999999999 2.4867649667791287e-06
"NUV (GALEX)" 0.23239725426356592 0.0002565 3.345220471060166e-06
"W1 (WISE)" 3.3533831991051453 0.028033333333333337 0.0005624686657939267
"W2 (WISE)" 4.60510688172043 0.021900000000000003 0.00040348110240753533
"W3 (WISE)" 11.574998378378377 0.07583333333333334 0.0012642926876321003
"W4 (WISE)" 22.0435630882353 0.22133333333333335 0.005158352450153053
"12 microns (IRAS)" 11.99169832 0.192 0.0403
"25 microns (IRAS)" 24.982704833333333 0.221 0.0383
"60 microns (IRAS)" 59.958491599999995 0.489 0.0587
"100 microns (IRAS)" 99.93081933333333 1.46 0.16
"24 microns (MIPS)" 23.60570535433071 0.2345 0.00030165377504682417
"4.89 GHz (VLA)" 61307.251124744376 0.0064150000000000006 0.000494064773081425
"1.46 GHz (VLA)" 205337.3 0.0112 0.0014
1.4GHz 214137.47 0.0168 0.0007
