Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0023499999660998583 5e-05
GALEX:NUV 0.23119646641474512 0.002859999891370535 3e-05
SDSS:u' 0.3519021246126397 0.0029075001075398177 2.9529645e-05
SDSS:g' 0.4819969420238593 0.0036139999516308307 0.00077064906
SDSS:r' 0.6246977662012919 0.0035107999574393034 0.00045094342
SDSS:i' 0.7634912086792645 0.00500279989792034 0.0012000968
SDSS:z' 0.9017941824088558 0.003730000084033236 4.356604e-05
SDSS:u 0.3519021246126397 0.0044198749637871515 0.00030415296
SDSS:g 0.48199694202385923 0.004703625032561831 0.00028164694
SDSS:r 0.6246977662012919 0.004420250025759742 0.00030166868
SDSS:i 0.7634912086792645 0.005011314274660046 0.00051079196
SDSS:z 0.9017941824088558 0.005610749940387905 0.00026895353
2MASS:J 1.2390166060505865 0.010510370549228456 0.0014998
2MASS:H 1.649477072902338 0.012579166679643095 0.0019052558
2MASS:Ks 2.1637853338145083 0.020486364141106606 0.0018574174
WISE:W1 3.3500107051067167 0.03237272748215632 0.0022338307
WISE:W2 4.600019302768061 0.05082000065594912 0.0038652294
WISE:W3 11.559823320737253 0.11779999881982803 0.0063245557
WISE:W4 22.09066818952177 0.2678000062704086 0.018110773
Spitzer/MIPS:24 23.674678828081813 0.25600001215934753 0.001
Spitzer/MIPS:70 71.41996807699637 0.14000000059604645 0.009
Herschel/PACS:70 69.99917297095358 0.11900000274181366 0.003
Herschel/PACS:100 100.00081990726842 0.08460000157356262 0.0031
Herschel/PACS:160 160.0002444361424 0.047600001096725464 0.008
:=1.4GHz 214137.47000000003 0.002319999970495701 0.00021213204
"2-10 keV (XMM)" 0.00020675341931034483 2.09e-07 3.45e-09
"0.5-2 keV (XMM)" 0.0009926902582781457 8.34e-07 2.98e-08
"W1 (WISE)" 3.3533831991051453 0.032400000000000005 0.000744363486476869
"W2 (WISE)" 4.60510688172043 0.0504 0.0010249531696619118
"W3 (WISE)" 11.574998378378377 0.122 0.0019905582131653425
"W4 (WISE)" 22.0435630882353 0.254 0.0068884032982978
"12 microns (IRAS)" 11.99169832 0.172 0.038
"25 microns (IRAS)" 24.982704833333333 0.362 0.051
"60 microns (IRAS)" 59.958491599999995 0.305 0.16191973320136122
"100 microns (IRAS)" 99.93081933333333 0.5579999999999999 0.21745114393812695
"24 microns (MIPS)" 23.60570535433071 0.2405 0.00011140484729130955
