Filter Wave Flux F_er
SDSS:g 0.48199694202385923 6.70000008540228e-05 3.2e-06
SDSS:r 0.6246977662012919 6.970000049477676e-05 4.1484936e-06
SDSS:i 0.7634912086792645 0.00021100000594742596 4e-06
SDSS:z 0.9017941824088558 0.0002500000118743628 9e-06
2MASS:J 1.239016606050587 0.0016144444364019567 0.0003268027
2MASS:H 1.6494770729023387 0.0022477777804144556 0.0004565085
2MASS:Ks 2.1637853338145083 0.0027890000492334366 0.00053413486
WISE:W1 3.3500107051067163 0.002551249956013635 0.0001473092
WISE:W2 4.600019302768061 0.0023899999861088064 0.00013416407
WISE:W3 11.559823320737255 0.01720000058412552 0.0007937254
WISE:W4 22.09066818952177 0.050342856241124015 0.0039127995
IRAS:60 61.84986032885642 2.2300000190734863 0.13
IRAS:100 101.94941780588996 3.8299999237060547 0.27
:=1.4GHz 214137.47000000006 0.020299999974668026 0.0012206556
"W1 (WISE)" 3.3524464998875185 0.0044425 9.722129396382255e-05
"W2 (WISE)" 4.60334111987928 0.00341 8.618271288373324e-05
"W3 (WISE)" 11.574998378378378 0.018425 0.0005013441931447895
"W4 (WISE)" 22.043563088235295 0.04825 0.0024505674852980486
"60 microns (IRAS)" 59.958491599999995 2.23 0.134
"100 microns (IRAS)" 99.93081933333333 3.83 0.268
1.4GHz 214137.47 0.021 0.0008
