Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0003120000086103876 2.7440845e-05
GALEX:NUV 0.23119646641474512 0.000522666668985039 2.4372115e-05
SDSS:g' 0.48199694202385923 0.002689999993890524 0.00011
SDSS:r' 0.6246977662012919 0.0039900001138448715 6e-05
SDSS:i' 0.7634912086792645 0.004629999864846468 0.00041
2MASS:J 1.239016606050587 0.003810833324678242 0.00089224434
2MASS:H 1.6494770729023385 0.00483333346589158 0.0014353397
2MASS:Ks 2.163785333814508 0.004096363586458293 0.0014666629
WISE:W1 3.3500107051067167 0.004993333364836872 0.00032403704
WISE:W2 4.600019302768061 0.004111666581593454 0.00026153395
WISE:W3 11.559823320737253 0.01691999938338995 0.0009848858
WISE:W4 22.090668189521775 0.09557000175118446 0.008041144
Spitzer/MIPS:24 23.674678828081813 0.093299999833107 0.0001
"W1 (WISE)" 3.3533831991051453 0.005626666666666666 0.00011257850594140962
"W2 (WISE)" 4.60510688172043 0.004506666666666667 0.00010705227694916162
"W3 (WISE)" 11.574998378378377 0.018266666666666664 0.0005747303715656586
"W4 (WISE)" 22.0435630882353 0.08963333333333334 0.0035314869389536188
"4.5 microns (IRAC)" 4.494639550224888 0.0034850000000000003 5.672759469605599e-06
"8.0 microns (IRAC)" 7.86856845144357 0.00877 1.873846311734236e-05
"60 microns (IRAS)" 59.958491599999995 0.418 0.0501
"24 microns (MIPS)" 23.60570535433071 0.09215 9.609412052774094e-05
