Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0007229999852521966 6.573431e-05
GALEX:NUV 0.23119646641474512 0.0006819999980507419 4.0360876e-05
SDSS:u' 0.3519021246126397 0.000742000003810972 5e-06
SDSS:g' 0.48199694202385923 0.0007009999826550484 3e-06
SDSS:r' 0.6246977662012919 0.0007680000271648169 3e-06
SDSS:z' 0.9017941824088558 0.0009980000322684646 8e-06
2MASS:J 1.2390166060505867 0.0013621052433001367 0.00034655447
2MASS:H 1.6494770729023382 0.0016873684331872745 0.00048682647
2MASS:Ks 2.1637853338145083 0.0025842856682304826 0.0005147815
WISE:W1 3.3500107051067154 0.0032013887911388236 0.00027865032
WISE:W2 4.600019302768061 0.0051817648037446335 0.0003914026
WISE:W3 11.559823320737255 0.012633333293100199 0.00072801096
WISE:W4 22.09066818952177 0.027027273042635483 0.0037229022
Spitzer/MIPS:24 23.674678828081813 0.02513333410024643 0.00045825756
Spitzer/MIPS:70 71.41996807699637 0.06260000169277191 0.01
Spitzer/MIPS:160 155.8983140925637 0.13300000131130219 0.018
Herschel/PACS:70 69.99917297095358 0.030400000512599945 0.0033
Herschel/PACS:100 100.00081990726842 0.04569999873638153 0.0038
Herschel/PACS:160 160.0002444361424 0.07909999787807465 0.0097
"2-10 keV (XMM)" 0.0002067534193103448 9.17e-08 4.14e-09
"0.5-2 keV (XMM)" 0.0009926902582781457 3.44e-07 1.32e-08
"W1 (WISE)" 3.3533831991051453 0.0038999999999999994 9.005526081245891e-05
"W2 (WISE)" 4.60510688172043 0.00554 0.00012258458304370906
"W3 (WISE)" 11.574998378378377 0.013033333333333334 0.00045658405578819763
"W4 (WISE)" 22.0435630882353 0.025366666666666666 0.0032609661145126916
"24 microns (MIPS)" 23.60570535433071 0.02395 0.00014260873044803391
