Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 6.277500142459758e-05 1.4839475e-05
GALEX:NUV 0.23119646641474512 7.682499926886521e-05 1.1441591e-05
2MASS:J 1.239016606050587 0.0001017500017042039 1.06e-05
2MASS:H 1.6494770729023385 0.0002500000118743628 1e-05
2MASS:Ks 2.163785333814508 0.0002880000101868063 1.8e-05
:=3.6um 3.599986286565157 0.00039000000106170774 4e-06
:=4.5um 4.499969349004068 0.0008730000117793679 5e-06
WISE:W1 3.3500107051067167 0.00034000000927004624 3.4219876e-05
WISE:W2 4.600019302768061 0.0008082499953161459 7.7723875e-05
WISE:W3 11.559823320737253 0.003228300067712553 0.0004949747
WISE:W4 22.090668189521775 0.011731000314466656 0.003397955
Spitzer/MIPS:24 23.674678828081813 0.013850000221282244 0.00014142136
"W1 (WISE)" 3.3533831991051453 0.00040733333333333333 2.4441759347477426e-05
"W2 (WISE)" 4.60510688172043 0.000886 6.291557835703333e-05
"W3 (WISE)" 11.574998378378377 0.0037233333333333333 0.0004367894229488621
"W4 (WISE)" 22.0435630882353 0.012266666666666667 0.002570252905844092
"3.6 microns (IRAC)" 3.5520433412322276 0.0003715 2.0525106577068e-05
"4.5 microns (IRAC)" 4.494639550224888 0.000818 2.6240617370786078e-05
"5.8 microns (IRAC)" 5.732169369024856 0.00159 8.44450116940012e-05
"8.0 microns (IRAC)" 7.86856845144357 0.003925 6.43618675925427e-05
"24 microns (MIPS)" 23.60570535433071 0.01355 0.00010155924379395507
"70 microns (MIPS)" 71.37915666666667 0.065 0.004
