Filter Wave Flux F_er
2MASS:Ks 2.163785333814508 0.00014200000441633165 3.5e-05
WISE:W1 3.350010705106716 3.0899999728717376e-05 1.9104973e-06
WISE:W2 4.600019302768061 1.7050000224116957e-05 3.4058771e-06
"W1 (WISE)" 3.3533831991051453 0.011483333333333333 0.00019138871440082354
"W2 (WISE)" 4.60510688172043 0.008473333333333333 0.00015426289249200536
"W3 (WISE)" 11.574998378378377 0.014933333333333333 0.0003128338217009152
"W4 (WISE)" 22.0435630882353 0.03553333333333333 0.0015743090547919744
"25 microns (IRAS)" 24.982704833333333 0.0485 0.0203
"60 microns (IRAS)" 59.958491599999995 0.159 0.0302
"250 microns (SPIRE)" 249.82704833333332 0.183 0.02
"350 microns (SPIRE)" 349.81617036172696 0.089 0.015
