Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 0.0011000000328446429 5.8309517e-05
GALEX:NUV 0.23119646641474512 0.0013666666733721893 4.8989794e-05
SDSS:u' 0.3519021246126397 0.0015300000086426735 1e-05
SDSS:g' 0.48199694202385923 0.0019200000097043812 0.00028017853
SDSS:r' 0.6246977662012919 0.0024999999441206455 4.1231055e-05
SDSS:i' 0.7634912086792646 0.003374999971129 0.00037054013
SDSS:z' 0.9017941824088558 0.0026499999221414328 2e-05
SDSS:u 0.35190212461263964 0.0015714285795443825 9.591663e-05
SDSS:g 0.4819969420238592 0.0018064285811435962 8.3666004e-05
SDSS:r 0.6246977662012919 0.002193571417592466 8.944272e-05
SDSS:i 0.7634912086792645 0.002903571435516434 0.00011445523
SDSS:z 0.9017941824088561 0.002446153863834647 9.165151e-05
2MASS:J 1.239016606050587 0.0033337499771732837 0.0003835362
2MASS:H 1.6494770729023382 0.0037612499290844426 0.0005404628
2MASS:Ks 2.1637853338145083 0.005860769368994694 0.00058352377
:=3.6um 3.599986286565157 0.010599999688565731 0.0002
:=4.5um 4.499969349004068 0.014800000004470348 0.0003
WISE:W1 3.3500107051067163 0.01012785719441516 0.00072801096
WISE:W2 4.600019302768061 0.015814285592309067 0.001086278
WISE:W3 11.559823320737253 0.039471429107444625 0.002172556
WISE:W4 22.09066818952177 0.11499999750118989 0.01019804
Spitzer/MIPS:70 71.41996807699637 0.04529999941587448 0.0092
Herschel/PACS:70 69.99917297095358 0.07859999686479568 0.0037
Herschel/PACS:100 100.00081990726842 0.08605000004172325 0.044209614
Herschel/PACS:160 160.0002444361424 0.06379999872297049 0.045795742
Herschel/SPIRE:250 249.99371080720482 0.0661499984562397 0.012560254
Herschel/SPIRE:350 362.9976001356129 0.038299999199807644 0.011951988
Herschel/SPIRE:500 516.9994274578785 0.014299999922513962 0.0089
:=1.4GHz 214137.4700000001 0.04696000069379806 0.001977372
"2-10 keV (XMM)" 0.00020675341931034483 4.88e-08 2.25e-09
"W1 (WISE)" 3.3533831991051453 0.009983333333333332 0.0002182502462770661
"W2 (WISE)" 4.60510688172043 0.015666666666666666 0.00030181035436180776
"W3 (WISE)" 11.574998378378377 0.04016666666666666 0.0007304525994203868
"W4 (WISE)" 22.0435630882353 0.1073 0.003378239186321774
"60 microns (IRAS)" 59.958491599999995 0.147 0.046
"24 microns (MIPS)" 23.60570535433071 0.10333333333333333 0.004150869172835974
"70 microns (MIPS)" 71.37915666666667 0.0858 0.00886
"160 microns (MIPS)" 156.14190520833333 0.0459 0.0117
1.4GHz 214137.47 0.045700000000000005 0.002646204829562519
