Filter Wave Flux F_er
IRAS:12 11.59021333024047 0.23800000548362732 0.026
IRAS:25 23.880234028994742 0.50450000166893 0.06860029
IRAS:60 61.84986032885642 2.959999918937683 0.3560899
IRAS:100 101.94941780588996 4.745000123977661 0.6060528
"3.6 microns (IRAC)" 3.5520433412322276 0.0276 0.00254
"4.5 microns (IRAC)" 4.494639550224888 0.025 0.00254
"5.8 microns (IRAC)" 5.732169369024856 0.0266 0.00269
"8.0 microns (IRAC)" 7.86856845144357 0.0785 0.00723
"12 microns (IRAS)" 11.99169832 0.239 0.0262
"25 microns (IRAS)" 24.982704833333333 0.507 0.0191
"60 microns (IRAS)" 59.958491599999995 2.8 0.224
"100 microns (IRAS)" 99.93081933333333 4.67 0.374
