Filter Wave Flux F_er
SDSS:u' 0.3519021246126397 0.0010289999772794545 1.4866068e-05
SDSS:g' 0.48199694202385923 0.0036033333744853735 0.00013076697
SDSS:r' 0.6246977662012919 0.007366666880746682 0.00034117445
SDSS:i' 0.7634912086792646 0.006120000034570694 0.00055
SDSS:z' 0.9017941824088558 0.018799999728798866 0.0001
SDSS:u 0.3519021246126397 0.0010895555476761526 4.9234135e-05
SDSS:g 0.48199694202385934 0.003898818278685212 0.00014575322
SDSS:r 0.6246977662012919 0.007145000126911327 0.00035312885
SDSS:i 0.7634912086792643 0.0036449999315664172 0.00050635956
SDSS:z 0.901794182408856 0.016961666852391016 0.00022561029
2MASS:J 1.239016606050587 0.008468333476533493 0.0016294785
2MASS:H 1.6494770729023385 0.010927499970421195 0.002493271
2MASS:Ks 2.163785333814508 0.01052636361088265 0.0022214635
WISE:W1 3.350010705106717 0.011822222214606073 0.0006324556
WISE:W2 4.600019302768061 0.012111111130151484 0.00054772256
WISE:W3 11.559823320737255 0.041585714157138555 0.0015684387
WISE:W4 22.090668189521775 0.10777499992400408 0.008013114
Herschel/PACS:70 69.99917297095358 0.5220000147819519 0.038183767
Herschel/PACS:160 160.0002444361424 0.9169999957084656 0.06
Herschel/SPIRE:250 249.99371080720482 0.4230000078678131 0.024
Herschel/SPIRE:350 362.9976001356129 0.1809999942779541 0.012
Herschel/SPIRE:500 516.9994274578785 0.05999999865889549 0.01
:=250um 249.99371080720482 0.4230000078678131 0.024
:=350um 349.99995096608495 0.1809999942779541 0.012
:=500um 499.99576043629816 0.05999999865889549 0.01
:=1.4GHz 214137.47000000006 0.006400000071153045 0.0011574109
"W1 (WISE)" 3.3533831991051453 0.012966666666666668 0.0002584101778181347
"W2 (WISE)" 4.60510688172043 0.0128 0.00025002347889748275
"W3 (WISE)" 11.574998378378377 0.046033333333333336 0.0008566294414739666
"W4 (WISE)" 22.0435630882353 0.10563333333333334 0.0038362612007004945
"60 microns (IRAS)" 59.958491599999995 0.374 0.0487
"100 microns (IRAS)" 99.93081933333333 0.752 0.203
1.4GHz 214137.47 0.0062 0.0005
