Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 1.7866666288076278e-05 5.254522e-06
GALEX:NUV 0.23119646641474512 6.800000119255856e-05 6.5261015e-06
SDSS:u' 0.3519021246126397 0.000877000013133511 1.2806248e-05
SDSS:g' 0.48199694202385923 0.0034050000831484795 0.00011045361
SDSS:r' 0.6246977662012919 0.006624999921768904 0.0003106445
SDSS:i' 0.7634912086792646 0.007410000078380108 0.00054
SDSS:u 0.3519021246126397 0.0008964999966944257 1.9595918e-05
SDSS:g 0.4819969420238593 0.0030107142000425874 5.2086467e-05
SDSS:r 0.6246977662012919 0.005969571477700291 0.00012579348
SDSS:i 0.7634912086792643 0.0014299999456852674 3e-05
SDSS:z 0.9017941824088559 0.0016899999463930726 9e-05
2MASS:J 1.239016606050587 0.01091000009328127 0.001158361
2MASS:H 1.6494770729023387 0.015209999866783619 0.0016155494
2MASS:Ks 2.1637853338145083 0.013000000268220901 0.0017578396
WISE:W1 3.3500107051067163 0.009171249810606241 0.00042883563
WISE:W2 4.600019302768061 0.007221249979920685 0.00029933258
WISE:W3 11.559823320737255 0.038083333211640515 0.0013152948
WISE:W4 22.09066818952177 0.15650000547369322 0.008602326
IRAS:60 61.849860328856415 1.3899999856948853 0.13
IRAS:100 101.94941780588995 2.3299999237060547 0.23
Spitzer/MIPS:24 23.674678828081813 0.1809999942779541 0.001
:=1.4GHz 214137.47000000003 0.00988749973475933 0.0012327206
"W1 (WISE)" 3.3533831991051453 0.010146666666666667 0.0002022248253800705
"W2 (WISE)" 4.60510688172043 0.007816666666666666 0.00014410065926289163
"W3 (WISE)" 11.574998378378377 0.04153333333333333 0.0007509007923820562
"W4 (WISE)" 22.0435630882353 0.15666666666666668 0.004319849534416679
"25 microns (IRAS)" 24.982704833333333 0.269 0.00807
"60 microns (IRAS)" 59.958491599999995 1.36 0.0817
"100 microns (IRAS)" 99.93081933333333 2.39 0.191
1.4GHz 214137.47 0.0105 0.0006
