Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.520000066397188e-07 1.4e-07
SDSS:g' 0.4819969420238592 4.0199997783929575e-06 2.0427922e-06
SDSS:r' 0.6246977662012919 7.081764873445911e-06 2.992173e-06
SDSS:i' 0.7634912086792645 9.867058532322785e-06 3.959798e-06
SDSS:u 0.3519021246126397 3.493624944894691e-06 3.3988088e-06
SDSS:g 0.4819969420238593 3.1222499643490664e-06 1.7672578e-06
SDSS:r 0.6246977662012919 5.612250088660176e-06 1.887909e-06
SDSS:i 0.7634912086792643 8.20375015564423e-06 3.536552e-06
SDSS:z 0.9017941824088558 1.3224999975136598e-05 9.279547e-06
WISE:W1 3.350010705106716 6.905000191181898e-05 1.2317467e-05
WISE:W2 4.600019302768061 7.734999962849542e-05 2.2991737e-05
Spitzer/MIPS:24 23.674678828081817 0.0006128571403678507 0.00010361468
Spitzer/MIPS:70 71.41996807699637 0.003103800089093056 0.0011000002
Herschel/PACS:100 100.00081990726842 0.008875000212962428 0.0040124804
Herschel/PACS:160 160.0002444361424 0.019875000230968 0.007827517
Herschel/SPIRE:250 249.99371080720482 0.04674999974668026 0.0021633308
Herschel/SPIRE:350 362.9976001356129 0.03184999991208315 0.0026870058
Herschel/SPIRE:500 516.9994274578785 0.019949999637901783 0.0044654226
:=1.4GHz 214137.47000000006 3.285000002506422e-05 6.7178867e-06
"3.6 microns (IRAC)" 3.5520433412322276 7.2e-05 7.2e-06
"4.5 microns (IRAC)" 4.494639550224888 7.26e-05 7.3e-06
"5.8 microns (IRAC)" 5.732169369024856 7.9e-05 8e-06
"8.0 microns (IRAC)" 7.86856845144357 0.000112 1.2e-05
"24 microns (MIPS)" 23.60570535433071 0.000534 5.5e-05
