Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.8066666952023905e-05 5.1410116e-06
GALEX:NUV 0.23119646641474512 6.783333083149046e-05 6.179806e-06
2MASS:J 1.239016606050587 0.0011350833519827574 0.00028748738
2MASS:H 1.649477072902339 0.0014454545664855025 0.0005623166
2MASS:Ks 2.163785333814508 0.0016761538303958683 0.00040721495
WISE:W1 3.350010705106716 0.001701053312960236 0.00014814641
WISE:W2 4.600019302768061 0.004069866712961811 0.00028629357
WISE:W3 11.559823320737253 0.03861666594942411 0.002078461
WISE:W4 22.09066818952177 0.24466666827599207 0.016792854
IRAS:12 11.590213330240472 0.10000000149011612 0.022
IRAS:25 23.880234028994742 0.49300000071525574 0.15316984
IRAS:60 61.84986032885642 5.434999942779541 0.54147947
IRAS:100 101.94941780588996 5.304999828338623 0.4738143
"W1 (WISE)" 3.3524464998875185 0.0021175 7.145166198207009e-05
"W2 (WISE)" 4.60334111987928 0.004395 0.00014724690149541347
"W3 (WISE)" 11.574998378378378 0.040325 0.0009732116933124057
"W4 (WISE)" 22.043563088235295 0.23274999999999998 0.007562109494049924
"3.6 microns (IRAC)" 3.5520433412322276 0.0017950000000000002 3.064196468896862e-05
"5.8 microns (IRAC)" 5.732169369024856 0.0145 0.0001633431969810803
"25 microns (IRAS)" 24.982704833333333 0.343 0.0148
"60 microns (IRAS)" 59.958491599999995 5.210000000000001 0.31653751752359466
"100 microns (IRAS)" 99.93081933333333 5.17 0.362
"24 microns (MIPS)" 23.60570535433071 0.273 0.00012420342185302303
