Filter Wave Flux F_er
2MASS:J 1.239016606050587 0.0007195714362231749 0.00031718292
2MASS:H 1.6494770729023385 0.0016385714656540326 0.0005417564
2MASS:Ks 2.1637853338145083 0.003915555594075058 0.0006123725
WISE:W1 3.350010705106716 0.007854999916162342 0.00037841778
WISE:W2 4.600019302768061 0.012399999690907342 0.0005
WISE:W3 11.559823320737253 0.026300000337262947 0.0010246951
WISE:W4 22.090668189521775 0.09088333571950595 0.0053888774
"W1 (WISE)" 3.349636402234637 0.00772 0.000156
"W2 (WISE)" 4.5980438343558285 0.0123 0.000238
"W3 (WISE)" 11.574998378378378 0.0284 0.000444
"W4 (WISE)" 22.043563088235295 0.091 0.00218
"3.6 microns (IRAC)" 3.5520433412322276 0.00929 4.6951890270786756e-05
"5.8 microns (IRAC)" 5.732169369024856 0.0174 0.0001577244432546839
"60 microns (IRAS)" 59.958491599999995 1.02 0.082
"100 microns (IRAS)" 99.93081933333333 1.45 0.304
1.4GHz 214137.47 0.0068 0.0005
