Filter Wave Flux F_er
GALEX:FUV 0.1529007283113174 2.1750000087195076e-05 1.0296601e-05
GALEX:NUV 0.23119646641474512 2.9999999242136255e-05 8.472308e-06
SDSS:u 0.3519021246126397 2.6066666376007357e-05 5.9363288e-06
SDSS:g 0.48199694202385923 4.456666627245593e-05 2.8653096e-06
SDSS:r 0.6246977662012919 6.335555533749155e-05 3.9357333e-06
SDSS:i 0.7634912086792645 7.691000064369291e-05 5.328227e-06
SDSS:z 0.9017941824088559 8.13222213764675e-05 2.0337406e-05
WISE:W1 3.350010705106716 0.00011245555490151876 1.9585199e-05
WISE:W2 4.600019302768061 0.00011867500052176183 3.0186919e-05
WISE:W3 11.559823320737255 0.001193999988026917 0.00032787194
WISE:W4 22.09066818952177 0.0056119998916983604 0.0023323807
Spitzer/MIPS:24 23.674678828081813 0.003809999907389283 7e-05
"W1 (WISE)" 3.3533831991051453 0.0010003333333333333 2.631563223637236e-05
"W2 (WISE)" 4.60510688172043 0.0005666666666666667 4.7247222140566104e-05
"W3 (WISE)" 11.574998378378377 0.00151 0.0003479841950433956
"W4 (WISE)" 22.0435630882353 0.00697 0.0025470374948162815
"3.6 microns (IRAC)" 3.5520433412322276 0.00012849999999999998 2.760072462816873e-06
"4.5 microns (IRAC)" 4.494639550224888 0.000124 4.102011701592281e-06
"5.8 microns (IRAC)" 5.732169369024856 0.00010965 1.606423356403909e-05
"8.0 microns (IRAC)" 7.86856845144357 0.0007225 2.1523010941780428e-05
"24 microns (MIPS)" 23.60570535433071 0.003695 8.87939187106865e-05
"70 microns (MIPS)" 71.37915666666667 0.049 0.006
