Ind#:0, Id(SIMBAD): LEDA  165630
Ind#:23, Id(SIMBAD): ESO 362-18
Ind#:100, Id(NED): 3C 334
Ind#:182, Id(SIMBAD): ESO 323-77
Ind#:341, Id(SIMBAD): NGC  7479
Ind#:399, Id(SIMBAD): M  81
Ind#:407, Id(SIMBAD): NGC  1241
Ind#:408, Id(SIMBAD): NGC  3516
Ind#:428, Id(SIMBAD): IRAS 15206+3342
Ind#:449, Id(SIMBAD): LEDA 1487448
Ind#:610, Id(SIMBAD): Mrk  937
Ind#:623, Id(SIMBAD): ESO 297-18
Ind#:643, Id(SIMBAD): IC  450
Ind#:789, Id(SIMBAD): Mrk  622
Ind#:857, Id(NED): WISEA J035734.06-053719.6
Ind#:1050, Id(SIMBAD): 2MASS J21035875-0728025
Ind#:1110, Id(SIMBAD): IRAS 15480-0344
Ind#:1410, Id(SIMBAD): Mrk  471
Ind#:1584, Id(SIMBAD): 2MASS J00105486+0014510
Ind#:1587, Id(NED): WISEA J005439.78+155447.2
Ind#:1867, Id(SIMBAD): LEDA  166692
Ind#:2264, Id(SIMBAD): NGC  4992
Ind#:2621, Id(SIMBAD): 3C 295
Ind#:2848, Id(SIMBAD): LEDA    3237
Ind#:2849, Id(SIMBAD): Mrk  478
Ind#:2946, Id(SIMBAD): NGC  1125
Ind#:2963, Id(SIMBAD): Mrk  279
Ind#:2985, Id(SIMBAD): Mrk 1502
Ind#:2987, Id(SIMBAD): PB  3894
Ind#:2990, Id(SIMBAD): ICRF J054236.1+495107
Ind#:2992, Id(NED): 3C 098
Ind#:3592, Id(SIMBAD): NGC  2992
Ind#:3662, Id(SIMBAD): NGC  2110
Ind#:3708, Id(SIMBAD): UGC  3351
Ind#:3766, Id(SIMBAD): NGC   788
Ind#:3770, Id(SIMBAD): NGC  4235
Ind#:3771, Id(SIMBAD): NGC  6860
Ind#:3842, Id(SIMBAD): Mrk  520
Ind#:3882, Id(SIMBAD): MCG+04-48-002
Ind#:4055, Id(SIMBAD): ICRF J145907.5+714019
Ind#:4135, Id(SIMBAD): 2E  2503
Ind#:4141, Id(SIMBAD): MCG+00-29-023
Ind#:4278, Id(SIMBAD): Z 218-7
Ind#:4433, Id(SIMBAD): Mrk  463E
Ind#:4591, Id(SIMBAD): LEDA   27453
Ind#:4594, Id(SIMBAD): IRAS 07598+6508
Ind#:4606, Id(SIMBAD): NGC  4151
Ind#:4609, Id(SIMBAD): NGC  1365
Ind#:4654, Id(SIMBAD): 2XMM J101756.8+390526
Ind#:4658, Id(SIMBAD): 3C  84
Ind#:4672, Id(SIMBAD): ESO 141-55
Ind#:4684, Id(SIMBAD): MCG+10-17-021
Ind#:4687, Id(SIMBAD): Mrk  509
Ind#:4689, Id(SIMBAD): NGC  7591
Ind#:4726, Id(SIMBAD): Mrk  493
Ind#:4728, Id(SIMBAD): Mrk 1239
Ind#:4731, Id(SIMBAD): Mrk  231
Ind#:4739, Id(SIMBAD): NGC  3079
Ind#:4773, Id(SIMBAD): NGC  4355
Ind#:4797, Id(SIMBAD): IRAS 13342+3932
Ind#:4815, Id(NED): WISEA J165939.77+183436.7
Ind#:4894, Id(SIMBAD): Mrk  876
Ind#:4901, Id(SIMBAD): MCG+13-07-002
Ind#:4916, Id(SIMBAD): NGC   253
Ind#:4923, Id(SIMBAD): 3C 286
Ind#:4925, Id(SIMBAD): NGC  3982
Ind#:4926, Id(SIMBAD): ICRF J182931.7+484446
Ind#:4929, Id(SIMBAD): ESO 428-14
Ind#:4930, Id(SIMBAD): NGC  5728
Ind#:4931, Id(SIMBAD): 2MASX J00535615-7038045
Ind#:5390, Id(SIMBAD): UGC  1841
Ind#:5412, Id(SIMBAD): LEDA    1790
Ind#:5413, Id(SIMBAD): Ton  951
Ind#:5415, Id(SIMBAD): NGC  4748
Ind#:5417, Id(NED): FAIRALL 0049
Ind#:5419, Id(SIMBAD): NGC  3281
Ind#:5420, Id(SIMBAD): NGC  5995
Ind#:5433, Id(NED): WISEA J130005.34+163214.8
Ind#:5435, Id(SIMBAD): 2MASX J18334627+4727027
Ind#:5436, Id(SIMBAD): 2E   437
Ind#:5457, Id(SIMBAD): Mrk  877
Ind#:5615, Id(NED): 3C 033
Ind#:5616, Id(SIMBAD): NGC  3393
Ind#:5619, Id(SIMBAD): IC 1816
Ind#:5668, Id(SIMBAD): Mrk 1506
Ind#:5721, Id(SIMBAD): Mrk 1014
Ind#:5726, Id(SIMBAD): Mrk  771
Ind#:5729, Id(SIMBAD): Mrk 1513
Ind#:5731, Id(SIMBAD): Mrk  304
Ind#:5732, Id(SIMBAD): 2MASS J14294306+4747262
Ind#:5826, Id(SIMBAD): 2MASX J10181928+3722419
Ind#:5835, Id(SIMBAD): 2MASX J14323249+3406257
Ind#:5874, Id(SIMBAD): Mrk 1383
Ind#:5958, Id(SIMBAD): SDSS J040208.86-050642.0
Ind#:5967, Id(SIMBAD): 3C 452
Ind#:6016, Id(SIMBAD): MCG-03-34-064
Ind#:6017, Id(SIMBAD): ESO 434-40
Ind#:6497, Id(SIMBAD): 4C 13.41
Ind#:6804, Id(SIMBAD): NGC  4593
Ind#:6820, Id(SIMBAD): NGC   931
Ind#:6823, Id(SIMBAD): 2MASX J21564950-0745325
Ind#:6941, Id(SIMBAD): 2MASS J13234951+6541480
Ind#:6948, Id(SIMBAD): IC 3078
Ind#:7083, Id(SIMBAD): LEDA   29208
Ind#:7368, Id(SIMBAD): ICRF J134733.3+121724
Ind#:7478, Id(SIMBAD): NGC  7743
Ind#:7493, Id(SIMBAD): LEDA   90429
Ind#:7494, Id(SIMBAD): LEDA   70560
Ind#:7537, Id(SIMBAD): LEDA   52314
Ind#:7623, Id(SIMBAD): M  94
Ind#:7697, Id(SIMBAD): ESO 323-32
Ind#:7796, Id(SIMBAD): Mrk  463
Ind#:7811, Id(SIMBAD): NGC  4388
Ind#:7812, Id(SIMBAD): M  88
Ind#:7816, Id(SIMBAD): NGC  5033
Ind#:8034, Id(SIMBAD): ESO  33-2
Ind#:8035, Id(SIMBAD): LEDA   90054
Ind#:8074, Id(NED): WISEA J124819.76+662142.6
Ind#:8129, Id(SIMBAD): Mrk  334
Ind#:8132, Id(SIMBAD): Mrk  273
Ind#:8174, Id(SIMBAD): 2MASX J08584172+1041223
Ind#:8265, Id(SIMBAD): 2MASSI J0918486+211717
Ind#:8322, Id(SIMBAD): ESO 420-13
Ind#:8332, Id(SIMBAD): IRAS F08216+3009
Ind#:8415, Id(SIMBAD): Mrk  817
Ind#:8417, Id(SIMBAD): ICRF J130533.0-103319
Ind#:8525, Id(SIMBAD): NGC   612
Ind#:8526, Id(SIMBAD): NGC  1058
Ind#:8557, Id(SIMBAD): 4C 23.43
Ind#:8561, Id(SIMBAD): 3C 196
Ind#:8562, Id(SIMBAD): NGC  6890
Ind#:8594, Id(SIMBAD): NGC  2622
Ind#:8613, Id(SIMBAD): IC 4518A
Ind#:8615, Id(SIMBAD): NGC  1808
Ind#:8623, Id(SIMBAD): PG 0953+414
Ind#:8625, Id(SIMBAD): Ton  1565
Ind#:8633, Id(SIMBAD): Ton  1388
Ind#:8671, Id(SIMBAD): 2MASS J14025120+2631175
Ind#:8724, Id(SIMBAD): IRAS 17002+5153
Ind#:8848, Id(SIMBAD): IRAS 15091-2107
Ind#:8934, Id(SIMBAD): ESO  12-21
Ind#:9018, Id(SIMBAD): UGC 12138
Ind#:9078, Id(SIMBAD): LEDA   75476
Ind#:9151, Id(SIMBAD): SDSS J231812.99-004126.1
Ind#:9187, Id(SIMBAD): Mrk    9
Ind#:9251, Id(SIMBAD): NGC  3783
Ind#:9252, Id(SIMBAD): NGC  5135
Ind#:9256, Id(SIMBAD): ESO 140-43
Ind#:9257, Id(SIMBAD): NGC  7410
Ind#:9279, Id(SIMBAD): ESO 198-24
Ind#:9473, Id(SIMBAD): IC 1065
Ind#:9475, Id(SIMBAD): Mrk  335
Ind#:9517, Id(SIMBAD): NGC   513
Ind#:9525, Id(SIMBAD): NGC  1204
Ind#:9536, Id(SIMBAD): ESO 383-35
Ind#:9565, Id(SIMBAD): Mrk  618
Ind#:9569, Id(SIMBAD): Mrk  863
Ind#:9571, Id(SIMBAD): NGC  7682
Ind#:9606, Id(SIMBAD): NGC  1320
Ind#:9611, Id(SIMBAD): UGC  3601
Ind#:9702, Id(SIMBAD): NGC  1667
Ind#:9779, Id(SIMBAD): M  84
Ind#:9784, Id(SIMBAD): NGC  4074
Ind#:9789, Id(SIMBAD): LEDA 1365424
Ind#:9791, Id(SIMBAD): NGC  3735
Ind#:9881, Id(SIMBAD): MCG-01-24-012
Ind#:9900, Id(SIMBAD): ICRF J015002.6-072548
Ind#:9902, Id(SIMBAD): NGC  2639
Ind#:9905, Id(SIMBAD): Mrk 1457
Ind#:9929, Id(SIMBAD): Mrk  841
Ind#:10267, Id(SIMBAD): NGC  5990
Ind#:10275, Id(SIMBAD): ESO 445-50
Ind#:10437, Id(SIMBAD): Mrk 1298
Ind#:10452, Id(SIMBAD): Mrk 1095
Ind#:10464, Id(SIMBAD): M  49
Ind#:10469, Id(SIMBAD): Z 121-75
Ind#:10494, Id(SIMBAD): IRAS 04385-0828
Ind#:10496, Id(SIMBAD): NGC  4253
Ind#:10499, Id(SIMBAD): NGC  4602
Ind#:10519, Id(SIMBAD): NGC   185
Ind#:10541, Id(SIMBAD): NGC  2685
Ind#:10542, Id(SIMBAD): NGC  3081
Ind#:10544, Id(SIMBAD): NGC  2273
Ind#:10545, Id(SIMBAD): NGC  4051
Ind#:10547, Id(SIMBAD): NGC  6221
Ind#:10550, Id(SIMBAD): NGC  4725
Ind#:10552, Id(SIMBAD): NGC  6814
Ind#:10553, Id(SIMBAD): NGC  7172
Ind#:10590, Id(SIMBAD): Mrk  705
Ind#:10606, Id(SIMBAD): ESO 263-13
Ind#:10609, Id(SIMBAD): NGC  3998
Ind#:10623, Id(SIMBAD): NGC  4941
Ind#:10631, Id(SIMBAD): NGC  4395
Ind#:10639, Id(NED): 3C 459
Ind#:10640, Id(SIMBAD): LEDA   68751
Ind#:10642, Id(SIMBAD): NGC  6300
Ind#:10643, Id(SIMBAD): ESO 103-35
Ind#:10656, Id(SIMBAD): Mrk   79
Ind#:10657, Id(SIMBAD): Mrk  573
Ind#:10670, Id(SIMBAD): NGC  5548
Ind#:10702, Id(SIMBAD): IC  486
Ind#:10745, Id(SIMBAD): IC 2560
Ind#:10758, Id(SIMBAD): NGC   424
Ind#:10864, Id(SIMBAD): LEDA   89032
Ind#:10910, Id(SIMBAD): NGC  6240
Ind#:10925, Id(SIMBAD): NGC   262
Ind#:10955, Id(SIMBAD): NGC  7679
Ind#:11032, Id(SIMBAD): NGC  7592
Ind#:11041, Id(SIMBAD): IC 5298
Ind#:11078, Id(SIMBAD): NGC  4507
Ind#:11079, Id(SIMBAD): NGC  4477
Ind#:11080, Id(SIMBAD): UGC  6728
Ind#:11081, Id(SIMBAD): NGC  7319
Ind#:11124, Id(SIMBAD): ESO   5-4
Ind#:11472, Id(SIMBAD): NGC  6951
Ind#:11686, Id(SIMBAD): NGC  1142
